Original_Target,Suggested_Simplified_Target and Disease Common Name,Target_Type,Causal organism,Count,Examples,Notes,,,,Count:,4092
red scale,red scale,Insect,,1,Ringer Attack Soap Concentrate,,,,,,
Red scales,Red scales,Insect,,2,CITRU-SOY,,,,,,
Red Seed,Red Seed,Other,,1,LIBERTY CLOP,Review needed - unclear target type,,,,,
Red Shoulder Stink Bug,Red Shoulder Stink Bug,Insect,,4,Centric 40WG; Sharda Thiamethoxam 40% WDG,,,,,,
Red Spider,Red Spider,Insect,,18,"Ecto B715 Insecticide; HI-YIELD PERMETHRIN CONCENTRATE LAWN, GARDEN, DOG & LIVESTOCK INSECT CONTROL; Bonide Eight Insect Control Yard & Garden Ready To Spray; Bonide Eight Insect Control Concentrate; Hi-Yield Kill-A-Bug II",,,,,,
Red spider,Red spider,Insect,,26,Bonide Vegetable Floral Dust; Drexel Suffa; Bonide Sulfur Plant Fungicide Micronized Spray or Dust; Ecto B736 Insecticide; Permethrin 2.5 EW,,,,,,
Red Spider Mite,Mites,Insect,,114,Cosavet DF; JMS STYLET-OIL; LIFESUL 80 DF; Britz 415 Supreme Spray Oil; Helena Wettable Sulphur,,,,,,
Red spider mite,Mites,Insect,,46,Sulfur Dual Spraying 90 WP; THAT® Flowable Sulfur; Drexel Sulfur 90W; Sulfur 6L; Kumulus DF,,,,,,
red spider mite,Mites,Insect,,30,Microsperse Wettable Sulfur; Sulfur 90DF; Yellow Jacket Flowable Sulfur,,,,,,
Red Spider Mite Eggs,Mites,Insect,,16,MITE-E-OIL; OMNI OIL 6; DORMANT & SUMMER SPRAY OIL; Britz 415 Supreme Spray Oil; Ortho Volck Oil Spray,,,,,,
Red Spider Mite eggs,Mites,Insect,,1,OMNI SUPREME SPRAY,,,,,,
Red spider mite eggs,Mites,Insect,,1,Soydorm Oil,,,,,,
Red Spider Mites,Mites,Insect,,140,DORMANT & SUMMER SPRAY OIL; Britz 415 Supreme Spray Oil; Britz Supreme Spray Oil; Defend DF; CUPROQUIM SUPER-SUL MICRONIZED WETTABLE SULFUR WDG,,,,,,
Red Spider mites,Mites,Insect,,5,Bravo S; Miller’s Garden Sulphur; Terranil S,,,,,,
Red spider mites,Mites,Insect,,63,Damoil Supreme; Drexel Sulfa 80W; Damoil Dormant & Summer Spray Oil; CITRU-SOY; Kumulus DF,,,,,,
Red Spider Spp.,Red Spider Spp.,Insect,,1,Helena Liquid Sulfur Six,,,,,,
Red spider),Red spider),Insect,,1,Drexel Suffa,,,,,,
Red Spot,Leaf Spot,Disease,,2,Ziram 76DF Fungicide; Ziram Granuflo,,,,,,
Red spotted mites,Mites,Insect,,1,Drexel Sulfa 80W,,,,,,
Red sprangletop,Red sprangletop,Other,,5,FreeHand 1.75G Herbicide,Review needed - unclear target type,,,,,
Red steele,Red steele,Other,,4,Inosco; LBG-W,Review needed - unclear target type,,,,,
Red Stele,Red Stele,Other,,27,AX MEFENOXAM; A288.01; Aliette WDG Fungicide; Fungi-Phite; Avalaire Mefenoxam SL,Review needed - unclear target type,,,,,
Red stele,Red stele,Other,,11,Metalaxyl 2E AG; ProPhyt; A216.03; Mefenoxam 2E; Oplice,Review needed - unclear target type,,,,,
red stele,red stele,Other,,2,A216.02,Review needed - unclear target type,,,,,
Red Stele (Phytophthora fragariae),Red Stele (Phytophthora fragariae),Other,,5,OxiPhos; MAXIPHITE Fungicide,Review needed - unclear target type,,,,,
Red Stele Root Rot,Rot Diseases,Disease,,1,Orondis®,,,,,,
Red stele root rot,Rot Diseases,Disease,,2,Orondis® Gold; Orondis® Gold DC,,,,,,
Red Striped Fireworm,Red Striped Fireworm,Insect,,27,EVERCIDE® Emulsifiable Concentrate 28061; EVERCIDE® Vegetable and Garden Insect Killer 28063; EsfenStar 8% EC,,,,,,
Red-Banded Leaf Roller,Red-Banded Leaf Roller,Insect,,2,SA-50 Malathion 50% E.C.; Sharda Malathion 50% EC,,,,,,
Red-Banded Leafroller,Leafrollers,Insect,,45,EVERCIDE® Emulsifiable Concentrate 28061; Bonide® RTU Vegetable & Ornamental Insect Spray; Dupont Asana XL Insecticide; EsfenStar 8% EC; BONIDE BONTOX MULTI-PURPOSE INSECTICIDE CONCENTRATE,,,,,,
Red-banded Leafroller,Leafrollers,Insect,,6,Ferti-lome® Liquid Carbaryl Home Garden Spray,,,,,,
Red-banded leafroller,Leafrollers,Insect,,4,Danitol 2.4 EC Spray; Hi-Yield 10% Carbaryl Garden Dust; Cheminova Malathion 57% Low VOC,,,,,,
red-banded leafroller,Leafrollers,Insect,,1,Fyfanon 57% EC,,,,,,
Red-banded leafrollers,Leafrollers,Insect,,2,"Ecto B736 Insecticide; UNICORN 10% PERMETHRIN LAWN, GARDEN & TERMITE CONCENTRATE",,,,,,
red-banded leafrollers,Leafrollers,Insect,,1,PRAMEX® Insect Killer R4 30223,,,,,,
Red-Banded),Red-Banded),Other,,1,Ecto B715 Insecticide,Review needed - unclear target type,,,,,
Red-humped caterpillar,Caterpillars/Moths,Insect,,3,Radiant SC,,,,,,
Red-Humped Caterpillars,Caterpillars/Moths,Insect,,1,Dibrom 8 Emulsive,,,,,,
Red-Striped Fireworm,Red-Striped Fireworm,Insect,,1,Dupont Asana XL Insecticide,,,,,,
red/scarlet,red/scarlet,Other,,9,DREXEL FOMA 2.0 HERBICIDE; DREXEL FOMA 1.88 HERBICIDE; Avalaire Fomesafen 1.88 SL; A383.03; HM-1151-A Herbicide,Review needed - unclear target type,,,,,
Redbanded,Redbanded,Other,,4,AX-NOVAL,Review needed - unclear target type,,,,,
redbanded,redbanded,Other,,2,A122.01™,Review needed - unclear target type,,,,,
Redbanded Leafroller,Leafrollers,Insect,,130,Agrisel Tengard Pro Termiticide/Insecticide; A198.01; A198.03; A110.03; AMBUSH 25W Insecticide Water Soluble Pack,,,,,,
Redbanded leafroller,Leafrollers,Insect,,163,A152.03; A197.05; A132.01; Altacor Insect Control; A177.04,,,,,,
redbanded leafroller,Leafrollers,Insect,,15,Hi-Yield,,,,,,
Redbanded leafrollers,Leafrollers,Insect,,6,Permethrin 3.2 E.W.; Bonide Eight Insect Control Yard & Garden Ready To Spray; Permethrin 10 E.W.C.; Bonide Eight Insect Control Concentrate; Permethrin 10 EW,,,,,,
Redberry Mite,Mites,Insect,,2,Danitol 2.4 EC Spray,,,,,,
Redbumped Caterpillar,Caterpillars/Moths,Insect,,1,Dipel (Worm Killer) Wettable Powder,,,,,,
Redheaded Pine Sawfly,Flies,Insect,,5,BONIDE BONTOX MULTI-PURPOSE INSECTICIDE CONCENTRATE,,,,,,
Redhumped Caterpillar,Caterpillars/Moths,Insect,,51,BioproTeK; Bioprotec PLUS; BMP 123 (2X WP); BMP 123 (48 LC); BIOBIT HP BIOLOGICAL INSECTICIDE WETTABLE POWDER,,,,,,
Redhumped caterpillar,Caterpillars/Moths,Insect,,82,A152.03; A152.02; A132.01; Avalaire Methoxy 2F; Athena Insecticide,,,,,,
redhumped caterpillar,Caterpillars/Moths,Insect,,22,Blackhawk; A1101.04; A1101.19; Bonide Bacillus Thuringiensis (Bt) Moth Larvae (Caterpillar) Control; Conserve SC Turf and Ornamental,,,,,,
Redhumped Caterpillar Filbertworm,Caterpillars/Moths,Insect,,2,ADA 11280 Insecticide,,,,,,
Redmaids,Redmaids,Other,,31,F7127 SE HERBICIDE; Galigan® H2O; Gly-4 Herbicide; BLASTWAVE 480 SC; A229.02,Review needed - unclear target type,,,,,
Redneck cane borer,Redneck cane borer,Insect,,2,Aura 2F Insecticide,,,,,,
Rednecked Cane Borer,Rednecked Cane Borer,Insect,,1,Midac FC,,,,,,
Rednecked cane borer,Rednecked cane borer,Insect,,36,ADVISE FOUR; AmTide Imidacloprid 2F Insecticide; Avalaire Imida 4 F; Admire® 2 Flowable Insecticide; Couraze 2F Insecticide,,,,,,
Redroot,Redroot,Other,,47,Avalaire Metribuzin 4 F; A342.02; A229.02; Bar 750 DF; DREXEL Me-Try-Buzin 4L,Review needed - unclear target type,,,,,
redroot,redroot,Other,,165,A363.01; A308.10; A308.04; A383.03; A342.01,Review needed - unclear target type,,,,,
Redroot Pigweed,Weeds,Weed,,33,Dimetric Liquid; A319.06; METRIBUZIN 4L; Nufarm Metribuzin 4SC Herbicide; Liberty Metribuzin 4L,,,,,,
Redroot pigweed,Weeds,Weed,,76,LPI Rimsulfuron; FreeHand 1.75G Herbicide; Drexel Me-Try-Buzin 75DF; Glory; Avalaire Rimsulfuron 25 SG,,,,,,
redroot pigweed,Weeds,Weed,,8,Quali-Pro Dithiopyr L,,,,,,
Redstem,Redstem,Other,,12,Metribuzin 27% + Sulfentrazone 18% WG; A229.02; Galigan® H2O; IMAZETHAPYR 240 SL,Review needed - unclear target type,,,,,
redstem,redstem,Other,,53,A363.01; A308.10; BLASTWAVE 480 SC; A308.04; F6482 45DF Herbicide,Review needed - unclear target type,,,,,
Redstem Filaree,Redstem Filaree,Other,,17,PRUVIN® Herbicide,Review needed - unclear target type,,,,,
Redstem filaree,Redstem filaree,Other,,31,LPI Rimsulfuron; Rim 25 Herbicide,Review needed - unclear target type,,,,,
Redstriped Fireworm,Redstriped Fireworm,Insect,,4,Imidan 50-WSB; Imidan 70-W Agricultural Insecticide,,,,,,
Redtop grass,Grasses,Weed,,1,Evital 5G,,,,,,
Reduce berry set and hasten maturity,Reduce berry set and hasten maturity,Other,,1,ProGibb Plus 2X Plant Growth Regulator,Review needed - unclear target type,,,,,
Reduce berry shrivel,Reduce berry shrivel,Other,,1,First-Up RST,Review needed - unclear target type,,,,,
Reduce berry shrivel and increase berry size,Reduce berry shrivel and increase berry size,Other,,1,GA3 20%,Review needed - unclear target type,,,,,
Reduce fire blight infections of shoots,Blight,Disease,,2,Kudos 27.5 WDG,,,,,,
Reduce flowering and fruiting in young trees,Reduce flowering and fruiting in young trees,Other,,1,N-LARGE Premier,Review needed - unclear target type,,,,,
Reduce fruiting,Reduce fruiting,Other,,2,Falgro 4L; FAL 436,Review needed - unclear target type,,,,,
Reduce or eliminate crop,Reduce or eliminate crop,Other,,3,GibGro 20% Powder; GA3 20%; N-LARGE Premier,Review needed - unclear target type,,,,,
Reduce rind creasing,Reduce rind creasing,Other,,1,GA3 20%,Review needed - unclear target type,,,,,
Reduce rind creasing and delay rind aging,Reduce rind creasing and delay rind aging,Other,,2,GA3 20%; ProGibb 4% Plant Growth Regulator Solution,Review needed - unclear target type,,,,,
Reduce rind creasing and delay softening,Reduce rind creasing and delay softening,Other,,1,ProGibb Plus 2X Plant Growth Regulator,Review needed - unclear target type,,,,,
Reduce rind creasing and soften disorders (Valencia),Reduce rind creasing and soften disorders (Valencia),Other,,1,N-LARGE Premier,Review needed - unclear target type,,,,,
Reduce small ripe fruit,Reduce small ripe fruit,Other,,1,N-LARGE,Review needed - unclear target type,,,,,
Reduced berry set,Reduced berry set,Other,,1,ProGibb 4% Plant Growth Regulator Solution,Review needed - unclear target type,,,,,
Reduced flowering and fruiting,Reduced flowering and fruiting,Other,,2,First-Up RST,Review needed - unclear target type,,,,,
Reduces shrinkage,Reduces shrinkage,Other,,4,Royal MH-30 XTRA,Review needed - unclear target type,,,,,
Reduction of terminal growth and biomass production,Reduction of terminal growth and biomass production,Other,,2,Cutless Tree Implant,Review needed - unclear target type,,,,,
Reduction of undersized tubers,Reduction of undersized tubers,Other,,4,AMV1015 Seed Treatment; Rejuvenate Seed Treatment,Review needed - unclear target type,,,,,
Reduction of volunteer potatoes,Reduction of volunteer potatoes,Other,,4,Royal MH-30 XTRA,Review needed - unclear target type,,,,,
Redweed,Weeds,Weed,,23,F7127 SE HERBICIDE; Biscayne Herbicide; LIBERTY X-METCHLORBUZIN; LPI.A014; A335.05,,,,,,
Removal of undesired fruit,Removal of undesired fruit,Other,,2,ConTego SL Plant Growth Regulator Soluble Liquid,Review needed - unclear target type,,,,,
reniform,reniform,Other,,39,AgChem1-EP1,Review needed - unclear target type,,,,,
Reniform Nematode,Reniform Nematode,Other,,28,414-02; 414-03; NAVIVA ST; AX Oxamyl 24% SL; OutReach SC Nematicide,Review needed - unclear target type,,,,,
Reniform nematode,Reniform nematode,Other,,25,BAFI TW; LALNIX ACT DC; Chitocide; Biostat 10% WP,Review needed - unclear target type,,,,,
Reniform nematodes,Reniform nematodes,Other,,19,DiTera ES Biological Nematicide,Review needed - unclear target type,,,,,
reniform nematodes,reniform nematodes,Other,,20,FBS Defense 500TM; DiTera DF,Review needed - unclear target type,,,,,
Replanting interval,Replanting interval,Insect,,7,Glyphosate 27% Concentrate,,,,,,
Replanting interval (by seed),Replanting interval (by seed),Insect,,1,Glyphosate 27% Concentrate,,,,,,
Replanting interval (from transplant),Replanting interval (from transplant),Insect,,1,Glyphosate 27% Concentrate,,,,,,
Rescue treatment – sprouts (0.5 inch to 1 inch),Rescue treatment – sprouts (0.5 inch to 1 inch),Other,,1,AMV-1018 EP,Review needed - unclear target type,,,,,
Rescuegrass,Grasses,Weed,,8,Prodiamine Pro F 0.20% Herbicide,,,,,,
Return bloom,Return bloom,Other,,3,Omni Brand Ethephon 2 lb; Fruitone-N,Review needed - unclear target type,,,,,
Return bloom enhancement,Return bloom enhancement,Other,,1,Refine 3.5 WSG,Review needed - unclear target type,,,,,
Return bloom maintenance,Return bloom maintenance,Other,,1,FAL 900,Review needed - unclear target type,,,,,
Return bloom reduction,Return bloom reduction,Other,,1,FAL 900,Review needed - unclear target type,,,,,
Rhizoctonia,Rhizoctonia,Other,,368,BLUE Man RX; AmyProtec 42; BW240 G Biological Fungicide; AGRI-FOS SYSTEMIC FUNGICIDE PLUS; BW240 WP Biological Fungicide,Review needed - unclear target type,,,,,
Rhizoctonia aerial blights and leaf spots,Blight,Disease,,2,ProStar 70 WP Fungicide,,,,,,
Rhizoctonia Blight,Blight,Disease,,13,A20259 Crop; Alibi Flora™; A23089 Fungicide; Abound Flowable Fungicide; A225.13,,,,,,
Rhizoctonia blight,Blight,Disease,,12,LIBERTY PYRAC-DCZ; Imbrex Xemium Fungicide Technical; 26/36 Fungicide; Cabrio® EG Fungicide; Dovetail,,,,,,
Rhizoctonia Bottom Rot,Rot Diseases,Disease,,3,Sharda Boscalid 70% WDG; Sharda Bos. 25.2% + Pyra. 12.8% WG II; Sharda Bos. 25.2% + Pyra. 12.8% WG,,,,,,
Rhizoctonia bottom rot,Rot Diseases,Disease,,5,ENDORSE Water Dispersible Granules; PRISTINE FUNGICIDE; Endura Pro fungicide; Endura Fungicide,,,,,,
Rhizoctonia bud and Crown rot,Rot Diseases,Disease,,6,ENDORSE Water Dispersible Granules,,,,,,
Rhizoctonia canker,Rhizoctonia canker,Disease,,3,Elatus Fungicide; Aprovia Fungicide; Quadris Ridomil Gold SL,,,,,,
Rhizoctonia Canker and Black Scurf,Rhizoctonia Canker and Black Scurf,Disease,,1,Heads Up® RTA Seed Treatment,,,,,,
Rhizoctonia Canker and Black Scurf (Rhizoctonia solani),Rhizoctonia Canker and Black Scurf (Rhizoctonia solani),Disease,,1,Heads Up Plant Protectant,,,,,,
Rhizoctonia damping off,Rhizoctonia damping off,Other,,1,Serifel Biofungicide,Review needed - unclear target type,,,,,
Rhizoctonia damping off and fruit rot,Rot Diseases,Disease,,1,Aprovia Fungicide,,,,,,
Rhizoctonia Damping-Off,Rhizoctonia Damping-Off,Other,,2,STartUP Azoxy Seed Treatment; Azoxystrobin 22.9% SC,Review needed - unclear target type,,,,,
Rhizoctonia damping-off,Rhizoctonia damping-off,Other,,1,ENDORSE Water Dispersible Granules,Review needed - unclear target type,,,,,
Rhizoctonia damping-off and Fruit rot,Rot Diseases,Disease,,2,ENDORSE Water Dispersible Granules,,,,,,
Rhizoctonia diseases,Rhizoctonia diseases,Disease,,8,MBC-33,,,,,,
Rhizoctonia Fruit Rot,Rot Diseases,Disease,,8,Equus 720 SST Fungicide; Echo RTU; CPI Chlorothalonil Multipurpose Fungicide; Bonide Fung-onil Multi-purpose Fungicide Ready to Use; CP Multi-Purpose Fungicide Ready-To-Use,,,,,,
Rhizoctonia fruit rot,Rot Diseases,Disease,,47,AVALAIRE CHLOROTHALONIL 720 F; Applause DF Fungicide; A265.01; Aprovia Top Fungicide; AX CHLOROTHALONIL,,,,,,
Rhizoctonia root and crown rot,Rot Diseases,Disease,,1,F9653-1 Fungicide,,,,,,
Rhizoctonia Root Rot,Rot Diseases,Disease,,8,Avalaire Azoxy 2 SC; Abound Flowable Fungicide; Azoxystrobin 22.9% SC; Azoxystrobin 250 g/L SC; A225.13,,,,,,
Rhizoctonia root rot,Rot Diseases,Disease,,45,AX AZOXY 229; ENDORSE Water Dispersible Granules; A254.02; Cannonball WG; Dovetail,,,,,,
Rhizoctonia Root/Stem Rot,Rot Diseases,Disease,,2,Plentrix,,,,,,
Rhizoctonia rot,Rot Diseases,Disease,,1,CATAMARAN,,,,,,
Rhizoctonia seed and seedling rot,Rot Diseases,Disease,,4,Xanthion In-Furrow Fungicide; Provysol Fungicide; Lenvyor Fungicide,,,,,,
Rhizoctonia Seedling Blight,Blight,Disease,,1,Plentrix,,,,,,
Rhizoctonia Seedling Blight and Root Rot,Rot Diseases,Disease,,4,Uniform; Plentrix,,,,,,
Rhizoctonia Seedling Blight and Root Rot (Rhizoctonia solani),Rot Diseases,Disease,,2,Neatland Care SE,,,,,,
Rhizoctonia seedling blight/rot,Rot Diseases,Disease,,2,Vertisan; Fontelis,,,,,,
Rhizoctonia Seedling Root Rot,Rot Diseases,Disease,,3,Tepera Fungicide,,,,,,
Rhizoctonia Seedling Rot,Rot Diseases,Disease,,6,Plentrix; Avalaire Azoxy 2 SC; Satori Fungicide; Azoxystrobin 250 g/L SC; A225.13,,,,,,
Rhizoctonia seedling rot,Rot Diseases,Disease,,1,Upgrade Fungicide,,,,,,
Rhizoctonia shoot blight,Blight,Disease,,4,ROPER DF RAINSHIELD; Roper; Willowood Mancozeb 75 WDG; Dithane DF Rainshield,,,,,,
Rhizoctonia Solani,Rhizoctonia Solani,Other,,3,DEBUG OPTIMO; TNO RTU,Review needed - unclear target type,,,,,
Rhizoctonia solani,Rhizoctonia solani,Other,,85,CruiserMaxx Vibrance Potato; Dynasty; ENV503 Biofungicide Wettable Powder; F4007-9; Dyna-Shield™ Trifloxystrobin Flowable Fungicide,Review needed - unclear target type,,,,,
Rhizoctonia solani (stem canker and black scurf),Rhizoctonia solani (stem canker and black scurf),Disease,,1,Maxim PSP,,,,,,
Rhizoctonia solani (stem canker),Rhizoctonia solani (stem canker),Disease,,1,DuPont Vertisan ST Seed Treatment,,,,,,
Rhizoctonia solani (tuber black scurf),Rhizoctonia solani (tuber black scurf),Other,,1,DuPont Vertisan ST Seed Treatment,Review needed - unclear target type,,,,,
Rhizoctonia solani diseases,Rhizoctonia solani diseases,Disease,,5,Emesto Silver; Maxim® MZ; EverGol Prime,,,,,,
Rhizoctonia species diseases,Rhizoctonia species diseases,Disease,,3,IPRODIONE 50EG T&O,,,,,,
Rhizoctonia spp.,Rhizoctonia spp.,Other,,296,ATROFORCE; BACIX; Armour-Zen; Cartissa G; Cartissa C,Review needed - unclear target type,,,,,
Rhizoctonia spp. (stem canker and tuber black scurf),Rhizoctonia spp. (stem canker and tuber black scurf),Disease,,2,Dyna-Shield Defuze; NUP-13009,,,,,,
Rhizoctonia Stem and Root Rot,Rot Diseases,Disease,,6,IPRODIONE 2FL TURF,,,,,,
Rhizoctonia stem and root rot,Rot Diseases,Disease,,33,IPRODIONE 2SE TURF; Iprodione ETQ; Iprodione 2SE Select; CHIPCO 26019 FLO brand Fungicide; IPRODIONE 50WP T&O,,,,,,
Rhizoctonia stem canker,Rhizoctonia stem canker,Disease,,6,CruiserMaxx® Potato Extreme; MONCOAT MZ Fungicide; CruiserMaxx Potato Insecticide and Fungicide; Moncut Fungicide,,,,,,
Rhizoctonia stem canker and black scurf,Rhizoctonia stem canker and black scurf,Disease,,2,Vertisan; Fontelis,,,,,,
Rhizoctonia Stem Canker and Crown Rot,Rot Diseases,Disease,,1,Zorda WG Biological Fungicide,,,,,,
Rhizoctonia stem canker and crown rot,Rot Diseases,Disease,,1,Theia Fungicide,,,,,,
Rhizoctonia stem rot,Rot Diseases,Disease,,16,LIBERTY PYRAC-DCZ; Elatus Fungicide; Cabrio® EG Fungicide; Aprovia Top Fungicide; Merivon Xemium Brand Fungicide,,,,,,
Rhizoctonia stem rot (suppression),Rot Diseases,Disease,,2,LIBERTY PYRAC-TRZ,,,,,,
Rhizoctonia stem/root rot,Rot Diseases,Disease,,1,Compass Fungicide,,,,,,
Rhizome,Rhizome,Other,,3,IMAZETHAPYR 240 SL,Review needed - unclear target type,,,,,
Rhizopus,Rhizopus,Other,,27,Captan 50% WP; ADA 76901; Captan 50-W; Captan 80 DF; Captan 50 Wettable Powder,Review needed - unclear target type,,,,,
Rhizopus fruit rot,Rot Diseases,Disease,,14,FLU+DFO; Luna Tranquility; NEU1140F Copper Soap; PROBLAD VERDE; Cueva 2.4 Copper Soap,,,,,,
Rhizopus Rot,Rot Diseases,Disease,,7,Thiram Granuflo® Agricultural Fungicide; Graduate A+; STK-20 (Regev); STK-20A,,,,,,
Rhizopus rot,Rot Diseases,Disease,,147,Academy; Botran 75-W; A224.03; A254.01; A254.07,,,,,,
Rhizopus rot (Rhizopus spp.),Rot Diseases,Disease,,1,TEBUCON 45 DF FUNGICIDE,,,,,,
Rhizopus soft rot,Rot Diseases,Disease,,3,VEGGIETURBO 5SC; PROBLAD VERDE,,,,,,
Rhizopus spp.,Rhizopus spp.,Other,,2,Fungi-Phite; Thiram SC,Review needed - unclear target type,,,,,
Rhizopus),Rhizopus),Other,,3,CAPTAN 80 WDG,Review needed - unclear target type,,,,,
Rhododendron Borer,Rhododendron Borer,Insect,,1,Hi-Yield 10% Permethrin Concentrate,,,,,,
Riant Bug species,Riant Bug species,Insect,,1,Endigo® ZCX,,,,,,
Rice,Rice,Other,,10,LIBERTY X-METCHLORBUZIN; LPI.A014; A335.05,Review needed - unclear target type,,,,,
Rice Cutgrass,Grasses,Weed,,2,Devrinol® 2-XT,,,,,,
Rice cutgrass,Grasses,Weed,,1,Evital 5G,,,,,,
rice cutgrass,Grasses,Weed,,3,Devrinol 3.75 SC Selective Herbicide,,,,,,
Rice cutgrass (Leersia oryzoides),Grasses,Weed,,4,DEVRINOL 10-G,,,,,,
Rice Flatsedge,Rice Flatsedge,Weed,,1,Valor WP Herbicide,,,,,,
Rice flatsedge,Rice flatsedge,Weed,,10,FreeHand 1.75G Herbicide,,,,,,
Rice Grasshopper,Rice Grasshopper,Insect,,1,TNO RTU,,,,,,
Rice Weevil,Rice Weevil,Insect,,1,CT-55 Dairy Aerosol,,,,,,
Rice weevil,Rice weevil,Insect,,1,Metabrom 100,,,,,,
rice weevil,rice weevil,Insect,,4,Meth-O-Gas 100; Methyl Bromide 100,,,,,,
Rice Weevils,Rice Weevils,Insect,,26,Premium Dairy Aerosol; Pyrenone Aerosol Spray; LN 1% PY; Entech Fog-10 Space Spray; PYRENONE 3-15 Space Spray,,,,,,
Rice weevils,Rice weevils,Insect,,1,Envi EC-X Emulsifiable Concentrate Insecticide,,,,,,
rice weevils,rice weevils,Insect,,2,DY-FLY Dairy Aerosol,,,,,,
Richardson's ground squirrel,Richardson's ground squirrel,Vertebrate,,4,WILCO ZINC AG BAIT,,,,,,
Rind ageing,Rind ageing,Other,,1,FALGRO® Tablet,Review needed - unclear target type,,,,,
Rind aging delay after color break,Rind aging delay after color break,Other,,1,First-Up RST,Review needed - unclear target type,,,,,
Rind Blotch,Rind Blotch,Other,,1,AX AZOXY-DIFEN,Review needed - unclear target type,,,,,
Rind disorders,Rind disorders,Other,,1,FALGRO® Tablet,Review needed - unclear target type,,,,,
Rind worm,Rind worm,Insect,,6,LPI.A002; Liberty Methoxyfen 2; A132.01; Invertid 2F; Avalaire Methoxy 2F,,,,,,
rind worm,rind worm,Insect,,1,Methoxyfenozide 2SC,,,,,,
Rindworm,Rindworm,Insect,,137,A198.01; A198.03; A110.08; A110.03; A110.05,,,,,,
rindworm,rindworm,Insect,,4,Blackhawk; Aceto Bifenthrin 2E; Tundra EC,,,,,,
Rindworm Complex,Rindworm Complex,Insect,,9,BioproTeK; Bioprotec PLUS; Dipel (Worm Killer) Wettable Powder; BMP 123 (2X WP); BMP 123 (48 LC),,,,,,
Rindworm complex,Rindworm complex,Insect,,42,Crymax WP; Condor XL; Crymax®; Condor WP; BIOBIT HP BIOLOGICAL INSECTICIDE WETTABLE POWDER,,,,,,
Rindworm species,Rindworm species,Insect,,3,Bonide FT09; KAISO 24 WG INSECTICIDE; Lambda Cyhalothrin 250 g/l,,,,,,
Rindworm species complex,Rindworm species complex,Insect,,32,Avalaire Lambda-Cy 1 EC; A115.04; AZ Lambda 2ME; AX LAMBDA-CY CRI; A115.02,,,,,,
rindworm species complex,rindworm species complex,Insect,,2,LIBERTY LAMBDA 2 ME; CHA 1550-03,,,,,,
Rindworm spp.,Rindworm spp.,Insect,,3,Lambda Cyhalothrin 12.7% EC; Lambda Cyhalothrin 11.4% EC; Sharda Gamma-Cyhalothrin 14.40% CS,,,,,,
rindworm spp.,rindworm spp.,Insect,,1,DECLARE,,,,,,
Rindworm spp. complex,Rindworm spp. complex,Insect,,8,LAMBDASTAR 1 CS; Drexel L-C Insecticide; Adama Lambda CY VC 223; LAMBDA-CY AG; Actylis Lambda-Cy Insecticide,,,,,,
Rindworms,Rindworms,Insect,,61,Bifen 25% EC; AMBUSH 25W Insecticide Water Soluble Pack; 2016BIFENTHRIN; ARCTIC® 3.2 EC; AMBUSH Insecticide,,,,,,
rindworms,rindworms,Insect,,2,A1101.04; SpinTor 2SC,,,,,,
Rindworms (lepidopteran),Rindworms (lepidopteran),Insect,,1,A152.03,,,,,,
ring,ring,Other,,39,AgChem1-EP1,Review needed - unclear target type,,,,,
Ring Nematode,Ring Nematode,Other,,40,VBC-90062 Nematicide; Oxamyl 24% SL; Vydate L; AX Oxamyl 24% SL; OutReach SC Nematicide,Review needed - unclear target type,,,,,
Ring nematode,Ring nematode,Other,,72,BAFI TW; Salibro; Salibro CA,Review needed - unclear target type,,,,,
Ring nematodes,Ring nematodes,Other,,39,LALNIX ACT DC; GRANDEVO; Biostat 10% WP; DiTera ES Biological Nematicide,Review needed - unclear target type,,,,,
ring nematodes,ring nematodes,Other,,19,MustGro Invest; DiTera DF,Review needed - unclear target type,,,,,
Ring nematodes (Criconemoides spp.),Ring nematodes (Criconemoides spp.),Other,,3,TRI-CON 80/20,Review needed - unclear target type,,,,,
ring nematodes (Criconemoides spp.),ring nematodes (Criconemoides spp.),Other,,3,Tri-Con 45/55,Review needed - unclear target type,,,,,
Ring Spot,Leaf Spot,Disease,,15,A20259 Crop; AX AZOXY 229; A23089 Fungicide; Abound Flowable Fungicide; A225.13,,,,,,
Ring spot,Leaf Spot,Disease,,33,Bravo 720; A19649 Crop; A20560 Crop Fungicide; Applause DF Fungicide; A265.01,,,,,,
Ring spot (California only),Leaf Spot,Disease,,1,Bravo S,,,,,,
Ringspot,Leaf Spot,Disease,,2,Chlorothalonil-ZN; Chlorothalonil 720,,,,,,
Ringspot of Brussels Sprouts,Leaf Spot,Disease,,1,Unicorn Multi-Purpose Fungicide,,,,,,
Ripe Fruit Rot,Rot Diseases,Disease,,8,Sharda Boscalid 70% WDG; Sharda Bos. 25.2% + Pyra. 12.8% WG,,,,,,
Ripe fruit rot,Rot Diseases,Disease,,44,Bonide FT09; Imbrex Xemium Fungicide Technical; Endura Pro fungicide; Endura Fungicide; Cevya Fungicide,,,,,,
Ripe Fruit Rot (Botrytis cinerea,Rot Diseases,Disease,,8,PHC 25279,,,,,,
Ripe Rot,Rot Diseases,Disease,,36,AX MANCOZEB 75 DG; BACIX; ARMOUR-Zen 15%; A295.01; Armour-Zen,,,,,,
