Original_Target,Count,Examples,Suggested_Simplified_Target,Target_Type,Notes
Two spotted Spider Mite,9,Brigade 2EC Insecticide/Miticide,,,
Two spotted spider mite,3,F6126 EW Insecticide; SKYRAIDER,,,
Two spotted spider mites,3,F6126 EW Insecticide,,,
Two-Spotted Mite,55,Cosavet DF; LIFESUL 80 DF; Defend DF; Micro Suit® Micronized Wettable Sulfur; Helena Wettable Sulphur,,,
Two-Spotted Mites,35,OMNI OIL 6; Defend DF; Sulphur W.G.; OMNI SUPREME SPRAY,,,
Two-Spotted Spider Mite,91,Averland FC; Avalaire Etoxazole SC; AX Etoxazole SC; Argyle Insecticide; Avalaire Bifen FC,,,
Two-Spotted Spider Mites,17,Diazinon AG600 WBC Insecticide; OMNI OIL 6; SOL-OIL 97; OMNI SUPREME SPRAY,,,
Two-Spotted Spider mite,1,Sharda Bifenthrin 17.15% LFC,,,
Two-Spotted Spider mite (Tetranychus urticae and other Tetranychus sp.),6,LN 1% PY,,,
Two-Spotted mite,1,Miller’s Garden Sulphur,,,
Two-Spotted mites,1,Miller’s Garden Sulphur,,,
Two-Striped Grasshopper,1,Deltamethrin Dust,,,
Two-spotted Mites,5,MITE-E-OIL; Sulphur W.G.; CUPROQUIM SUPER-SUL MICRONIZED WETTABLE SULFUR WDG,,,
Two-spotted Spider,11,Vendex 50WP Miticide,,,
Two-spotted Spider Mite,547,A134.02™; A110.08; A134.01; A134.04™; A110.05,,,
Two-spotted Spider Mites,22,A134.01; MITE-E-OIL; DORMANT & SUMMER SPRAY OIL; ONAGER EW MITICIDE,,,
Two-spotted Spider mite,6,A134.04™,,,
Two-spotted mite,24,Bonide Vegetable Floral Dust; Kumulus DF; M-97-009 Kaolin; Sulfur 6L; Malathion 8 Aquamul,,,
Two-spotted mites,14,Dusting Sulfur; Damoil Supreme; IDA's SULFA-92; Super Insecticidal Soap Concentrate,,,
Two-spotted spider,263,Avalaire Fenazate 50 WSB; A105.01; Acramite-50WS; AX BIFENAZATE 50 WSB; A105.04,,,
Two-spotted spider mite,508,A105.02; A131.01; A131.02; A117.02; A131.03,,,
Two-spotted spider mite (Tetranychus urticae and other Tetranychus spp.),2,A103.02,,,
Two-spotted spider mite (suppression),4,DuPont™ Vydate® C-LV; Oxamyl 42 Insecticide/Nematicide,,,
Two-spotted spider mites,55,Drexel Diazinon Insecticide; Damoil Supreme; Bonide Systemic Insect Control; ACARITOUCH; Damoil Dormant & Summer Spray Oil,,,
Two-spotted),3,Drexel Suffa; Damoil Supreme,,,
Twolined spittlebug,9,Tombstone™ Insecticide; Baythroid XL; Tombstone Helios; HM-1508 INSECTICIDE; Baythroid 2 Emulsifiable Pyrethroid Insecticide,,,
Twospotted,4,Drexel Suffa; 2016BIFENTHRIN; FG14002-80; Discipline 2EC,,,
Twospotted Spider,3,Discipline 2EC; FG14002-80,,,
Twospotted Spider Mite,298,BASIN-T; Basin®; Bifen 25% EC; A110.04; A110.03,,,
Twospotted Spider Mites,7,GWN-2106; Discipline 2EC; FG14002-80; DEBUG OPTIMO; 2016BIFENTHRIN,,,
Twospotted Spider and Carmine),1,FG14002-80,,,
Twospotted Spider mite,6,HERO Insecticide; GCS Bifenthrin LFC; AX BIFEN LFR FC; Sniper LFR; HM-1601 Insecticide,,,
Twospotted Spider),1,Discipline 2EC,,,
Twospotted and Carmine),1,2016BIFENTHRIN,,,
Twospotted mite,3,F6126 EW Insecticide; HERO Insecticide; Sysstem Ready BLUE,,,
Twospotted mites,5,Miller’s Garden Sulphur; Drexel Sulfa 80W,,,
Twospotted spider mite,370,Agri-Mek® SC Miticide/Insecticide; Agri-Flex Miticide/Insecticide; Abamectin .15EC; A131.04; Abamectin 0.15 EC Select,,,
Twospotted spider mites,1,SKYRAIDER,,,
Twospotted),7,Drexel Suffa,,,
Tylenchulus semipenetrans,2,CH2970/CH3000,,,
Tylenchulus semipenetrans species,1,Kansas 3 SC,,,
Typiness,2,Promalin,,,
Ulocladium Leaf Spot,21,Avalaire Azoxy 2 SC; A225.09; Abound Flowable Fungicide; A-Zox 50WDG; A225.13,,,
Ulocladium leaf spot,8,AX AZOXY 229; A225.05; Heritage Fungicide; Dexter XCEL Fungicide; Cueva 2.4 Copper Soap,,,
Uncinula (powdery mildew),1,Carb-O-Nator,,,
Uncinula necator,19,ENV503 Biofungicide Wettable Powder; Polyversum®; Elevate 50 WDG Fungicide,,,
Undersize potatoes,4,Royal MH-30 XTRA,,,
Undesirable fruit,4,Florel Brand Growth Regulator; QUALI-PRO® ETHEPHON 2 SL,,,
Undesirable vegetation,2,KLEENUP® Systemic Weed & Grass Killer,,,
Undesirable vegetation – weeds < 3 in height,11,Cheetah Herbicide,,,
Undesirable vegetation – weeds < 6 in height or pre-tiller grasses,11,Cheetah Herbicide,,,
Undesirable vegetation – weeds > 6 in height or grasses that have tillered,11,Cheetah Herbicide,,,
Uniform budbreak,35,Dormex; Longhorn; Duomax; Krop-Max,,,
Uniform color development,20,Sunaider,,,
Uniform color development in table grapes,1,Nufarm Ethephon 2 Plant Growth Regulator,,,
Uniform coloration and ripening,4,Ethephon 3#,,,
Uniform maturity,1,Omni Brand Ethephon 2 lb,,,
Uniform maturity and fruit loosening,1,ETHEPHON 2#,,,
Uniform opening and coloring,2,Ethephon 2SL,,,
Uniform ripening,6,Omni Brand Ethephon 2 lb,,,
Uniform ripening and coloring,4,Liberty Ethephon 21; Nufarm Ethephon 2 Plant Growth Regulator; Ethrel Brand Ethephon Plant Regulator,,,
Uniform ripening and coloring without loosening,2,Nufarm Ethephon 2 Plant Growth Regulator; ETHEPHON 2#,,,
Uniform ripening and coloring without loosening (early/midseason),1,Ethrel Brand Ethephon Plant Regulator,,,
Uniform ripening and coloring without loosening (late season),1,Ethrel Brand Ethephon Plant Regulator,,,
Uniform ripening of fresh market tomatoes,1,Nufarm Ethephon 2 Plant Growth Regulator,,,
Uniform ripening of processing tomatoes,1,Nufarm Ethephon 2 Plant Growth Regulator,,,
Uniform sprouting,8,"First-Up RST; GA3 20%; N-LARGE Premier; Progibb 40% Plant Growth Regulator, Water Soluble Granule; N-LARGE",,,
Uniform sprouting; break dormancy,1,ProGibb 4% Plant Growth Regulator Solution,,,
Uniformity/Improved Quality,41,Soil TRIGGRR,,,
Unwanted vegetation,3,Unicorn Glyphosate RTU Weed and Grass Killer,,,
Upright Dieback,17,Champ WG; Barrachlor Fungicide; Champ Dry Prill; Chlorothalonil 82.5 WDG; Chlorothalonil 720 SC,,,
Upright dieback,19,Bravo 720; AVALAIRE CHLOROTHALONIL 720 F; A265.01; AX CHLOROTHALONIL; Bravo Zn,,,
Urtica urens,1,F6285 4F CAL Herbicide,,,
Valdensinia Leaf Spot,2,Prothioconazole 4L,,,
Valdensinia leaf spot,12,Phobos FC; Proline 480 SC Fungicide; Propulse; Prothioconazole + Azoxystrobin; AURELIA 480 SC,,,
Variegated Cutworm,55,Deltamethrin Dust; Danitol 2.4 EC Spray; Dipel (Worm Killer) Wettable Powder; DIPEL 150 DUST; AX Methomyl 29LV Insecticide,,,
Variegated Cutworms,5,ferti-lome Dipel Dust,,,
Variegated Leafhopper,52,A198.01; A110.04; A110.03; A110.08; A110.05,,,
Variegated Leafhopper Nymphs,2,OMNI OIL 6,,,
Variegated Leafhopper nymphs,5,MITE-E-OIL; SOL-OIL 97; OMNI SUPREME SPRAY,,,
Variegated Leafhoppers,2,2016BIFENTHRIN; FG14002-80,,,
Variegated Leafroller,128,AX DIFLU 2L IGR; A198.01; A198.03; A110.04; A110.03,,,
Variegated Leafrollers,4,2016BIFENTHRIN; Bifenthrin 2E; Discipline 2EC,,,
Variegated Spanworm,1,Bioprotec PLUS,,,
Variegated cutworm,33,Battalion™ 1.5 EC Insecticide; Baythroid XL; Battalion 0.2 EC Insecticide; A177.04; Baythroid 2 Emulsifiable Pyrethroid Insecticide,,,
Variegated cutworms,2,ULTRATEC DUST INSECTICIDE,,,
Variegated leaf hoppers,1,A131.01,,,
Variegated leafhopper,69,ABACUS LoV/ABACUS V; A131.02; ABACUS Agricultural Miticide/Insecticide; Abamectin 0.15 EC Select; A131.03,,,
Variegated leafhoppers,5,NEONIC Miticide/Insecticide; NUP-13026 Abamectin 0.15 Miticide/Insecticide; Nufarm Abamectin 0.15 EC Insecticide; M-Pede Insecticide/Miticide/Fungicide,,,
Variegated leafroller,116,A152.03; A132.01; Altacor Insect Control; Avalaire Methoxy 2F; A177.04,,,
Variegated),10,LPI Diflubenzuron 2L; AX-NOVAL,,,
Varigated leafhopper,1,Timectin 0.15 EC Ag Insecticide/Miticide,,,
Various annual broadleaf weeds,4,Galigan® H2O,,,
Various annual grasses and broadleaf weeds,4,GCS S-Metolachlor 82.4% EC,,,
Various annual weeds,19,Clearout Spartan Herbicide,,,
Various broadleaf and grass weeds,40,A319.06; Flumi EZ Herbicide,,,
Various broadleaf and grassy weeds,21,GCS Flumioxazin 51% WDG,,,
Various broadleaf weeds,2,Mesotrione 40 Herbicide; A319.06,,,
Various broadleaf weeds and grasses,8,Oxyfluorfen 4SC,,,
Various foliar diseases,2,Bumper; Fitness Fungicide,,,
Various grass and broadleaf weeds,5,A319.15,,,
Various insect pests,4,Lawn Insect Control,,,
Various insect pests (e.g.,21,EVERGREEN Crop Protection EC 60-6,,,
Various listed insect pests,4,Ortho Lawn Insect Control,,,
Various listed insects,7,Acetamiprid RTU Insecticide,,,
Various molds and storage rots (Botrytis,3,CAPTAN 80 WDG,,,
Various perennial weeds,19,Clearout Spartan Herbicide,,,
Varnish spot,1,BC18-WG,,,
Vascular Collapse,13,AX MEFENOXAM; A288.01; Neatland 480 SL; Avalaire Mefenoxam SL; Mefenoxam 4ME,,,
Vascular collapse,6,Metalaxyl 2E AG; Ridomil Gold SL; A216.03; Mefenoxam 2E; Oplice,,,
Vegetable Leafminer,101,ACETO BIFENTHRIN 2 EC; ACENTHRIN INSECTICIDE; A110.03; AMBUSH 25W Insecticide Water Soluble Pack; A110.05,,,
Vegetable Leafminer (Adult),1,Sharda Imidacloprid 11.3% + Bifenthrin 11.3% SC,,,
Vegetable Leafminers,9,Pounce 3.2 EC Insecticide; POUNCE 25 WP Insecticide; Ecto B715 Insecticide; Bonide Eight Insect Control Dust; Perm-UP 25DF Dry Flowable Insecticide,,,
Vegetable Weevil,70,A198.01; A122.03; A198.03; ADA 11280 Insecticide; A122.05,,,
Vegetable Weevil (Adult),70,CSI Lambda 1EC; Avalaire Lambda-Cy 1 EC; A115.04; A115.02; Actylis Lambda-Cy Insecticide,,,
Vegetable Weevil (adult),3,LPI Lambda-Cyhalothrin,,,
Vegetable Weevils,2,Chemsico Insecticide Concentrate 22L,,,
Vegetable Weevils (Adults),3,Sharda Lambda-Cyhalothrin 120 EC,,,
Vegetable leaf miner,2,Bonide Eight Insect Control Yard & Garden Ready To Spray; Bonide Eight Insect Control Concentrate,,,
Vegetable leaf miners,2,"EI-785 Insecticide; UNICORN 10% PERMETHRIN LAWN, GARDEN & TERMITE CONCENTRATE",,,
Vegetable leafminer,29,F9043 EC Insecticide; Ecto B736 Insecticide; EVERCIDE® Permethrin Dust 2786; Bonide Eight Insect Control Plus; ARCTIC® 3.2 EC,,,
Vegetable leafminer (adult),4,Imidacloprid Plus Bifenthrin 1 + 1 SC; Brigadier HPG Insecticide; Brigadier Insecticide,,,
Vegetable leafminers,25,Ecto B736 Insecticide; Bonide Eight Insect Control Yard & Garden Ready To Spray; Bonide Eight Insect Control Plus; Bonide Eight Insect Control Concentrate; ARCTIC® 3.2 EC,,,
Vegetable weevil,22,Bonide Delta Dust; Battalion™ 1.5 EC Insecticide; A122.01™; Baythroid XL; Baythroid 2 Emulsifiable Pyrethroid Insecticide,,,
Vegetable weevil (Adult),1,Cyhella Insecticide,,,
Vegetable weevil (adult),14,AZ Lambda 2ME; Battalion 0.2 EC Insecticide; Green Light Many Purpose Dust; A177.04; Decis 100 EC Insecticide,,,
Vegetable weevils (adult),1,ULTRATEC DUST INSECTICIDE,,,
Vegetative growth,8,Axill Solutions Pro Hex 27.5% WDG; Avalaire Prohex 27.5 WDG,,,
Vegetative growth control,9,A573.01; Kudos 27.5 WDG,,,
Vegetative growth control (high vigor),1,A573.01,,,
Vegetative growth control (large trees),1,A573.01,,,
Vegetative growth control (medium trees),1,A573.01,,,
Vegetative growth control (medium vigor in California),1,A573.01,,,
Vegetative growth control (medium vigor in other states),1,A573.01,,,
Vegetative growth control (small trees),1,A573.01,,,
Vegetative growth control and latent bloom reduction,1,A573.01,,,
Vegetative growth control and reduced latent bloom,2,Kudos 27.5 WDG,,,
Vegetative growth control during long growing season,2,Kudos 27.5 WDG,,,
Vegetative growth regulation,38,PACLO 2SC; Tide Paclo 2SC; Clarelle,,,
Vegetative growth suppression,16,Trimtect; Royal MH-30 SG; Kudos 27.5 WDG; FAL 2042; Apogee Plant Growth Regulator,,,
Vein Spot,101,A223.02; A223.05; A20560 Crop Fungicide; A201.08; A225.08,,,
Vein Spot (Gnomonia nerviseda),1,HELMSTAR PLUS SC,,,
Vein spot,62,A253.07; A201.04; A224.04; A201.07; A253.03,,,
Vein spot (Gnomonia nerviseda),2,Liberty 3 Way,,,
Vein spot/leaf spot,5,EMINENT ESP; Affiance Fungicide; Domark 230 ME Fungicide; METTLE 125 ME FUNGICIDE,,,
Velletleaf,1,Clomate 3ME,,,
Velvet Bean Caterpillar,1,GCS Bifenthrin 2EC,,,
Velvetbean Caterpillar,43,Bonide® RTU Vegetable & Ornamental Insect Spray; EVERCIDE Emulsifiable Concentrate 2668; Acephate 90EG; AX ACEPHATE 90 WDG; BONIDE BONTOX MULTI-PURPOSE INSECTICIDE CONCENTRATE,,,
Velvetbean caterpillar,37,Crymax WP; Condor XL; Crymax®; Cutlass; Condor WP,,,
Velvetbean caterpillars,2,Drexel Carbaryl 4L,,,
Velvetgrass,7,Velpar® L CU; Willowood Pronamide 3.3SC; Tide Hexazinone 75 WDG; Velpar DF CU,,,
Velvetleaf,160,A363.01; A313.01; A342.01; Avalaire Metribuzin 4 F; A342.02,,,
Velvetleaf (suppression),6,A335.05,,,
Venice,14,OBTAIN 40% WDG Herbicide; LIBERTY X-METCHLORBUZIN; SYN-A16003 Herbicide; LPI.A014; A335.05,,,
Venice Mallow,15,AX Clomazone 31.3; A313.01; Liberty Metribuzin 4L; Clomate 3ME; Comet Selective Herbicide,,,
Venice mallow,4,Metribuzin 75DF; Metribuzin 70 WDG; Liberty Fluroxypyr Herbicide; A342.01,,,
Venturia,8,Pentathlon DF Fungicide Dispersible Granules; PHOENIX WINGMAN; Pentathlon LF,,,
Venturia Leaf Scab,5,QUALI-PRO AZOXY + TEBU; Quali-Pro TM 85 WDG; 3336 WP; Thiophanate Methyl 4.1 SC T&O Fungicide,,,
Venturia inaequalis,16,ALSA Propiconazole 14.3 EC; Nufarm Propiconazole SPC 14.3 MEC Fungicide; HM-0210-A; Alamo Fungicide; Nufarm Propiconazole SPC EC Fungicide,,,
Venturia inaequalis (Scab),16,A223.06; Colony; Propicon 14.3 ME; Propiconazole 1.3 ME T&O; Banner MAXX II,,,
Venturia spp.,4,CH2970/CH3000,,,
Verbesina encelioides,8,F6285 4F CAL Herbicide,,,
Veronica spp.,1,F6285 4F CAL Herbicide,,,
Verticillium,68,NuPro™; Chloropicrin 100 Fumigant; AmyProtec 42; GenMax; MustGro Invest,,,
Verticillium Wilt,19,Forticept EP #1; BACIX; ARMOUR-Zen 15%; Armour-Zen; Forticept EP #3,,,
Verticillium Wilt (suppression),4,WHIPPET Fungicide,,,
Verticillium albo-atrum,1,CRB,,,
Verticillium dahliae,5,METAM 426; IPCONAZOLE 4L; Sectagon-K54; Sectagon – 42,,,
Verticillium dahliae (Verticillium wilt),22,MBI-601 EP,,,
Verticillium species,6,Strike 85CP Fumigant,,,
Verticillium spp.,158,CH2970/CH3000; BACIX; Kansas 3 SC; Armour-Zen; Forticept EP #3,,,
Verticillium wilt,60,Buster; BORIS; Agri-Life; CGB3; Austin's A-1 Concentrated Bleach 8.25%,,,
Verticillium),2,Pic Plus Fumigant,,,
Verticillum,1,Pic-Brom 67,,,
Vetch,51,Clean Slate®; CLOPYR AG; Avalaire Clopyralid 3 SL; A313.01; A339.01,,,
Vine Burndown,1,Verdure-X-Herbicide,,,
Vine Decline,7,NUFARM T-METHYL 70 WSB FUNGICIDE; LPI Thio-M 70 WSB; Sharda Thiophanate 46.2% SC; Avalaire T-Methyl 4.5F; T-Methyl 70WSB,,,
Vine Kill,2,Quimag Quimicos Aguila Copper Sul,,,
Vine Mealybug,21,Bifenthrin 17.15 FC; Capture LFR Soil Insecticide; Beleaf® 50SG Insecticide; Arena 50 WDG Insecticide; A1102.02™,,,
Vine Mealybug (Pianococcus ficus),1,Semios VMB Eco DS,,,
Vine Mealybug (Planococcus ficus),3,CheckMate VMB-XL; CIDETRAK® VMB MESO; Celada VMB 180,,,
Vine Weevil Larvae,9,Merit 1.47 TLC Insecticide Concentrate; Mallet 1.47% Concentrate; Imidacloprid 1.47% FL,,,
Vine borers,1,MEEN™,,,
Vine decay,2,Thiophanate-methyl 85% WDG,,,
Vine decay suppression,1,Sharda Thiophanate-Methyl 85% WDG,,,
Vine decline,11,Bacillus subtilis CX-9090; CX-9030; GH DNMT; CX-9032; Liberty TM 540,,,
Vine desiccation,7,Paraquat SL Herbicide; Glufosinate 280 SL; FIESTAR 280 SL; Ax Glufosinate 280 Herbicide; Crop Protect Direct Paraquat 3SL,,,
Vine diseases following pruning,5,Tetraconazole 175; METTLE 125 ME FUNGICIDE; Minerva Fungicide; TETRACONAZOLE 125; Tetraconazole 230,,,
Vine kill,1,Quimag Quimicos Aguila Copper Sulfate Crystal,,,
Vine mealybug,9,Altus; FDF 50 SL Concentrate; Isomate VMB; CheckMate® VMB-OA; Cyclaniliprole-Acetamiprid 130SL,,,
Vine mealybug (Planococcus ficus),2,Checkmate® VMB-F,,,
Vinegar Flies,96,BIFENTURE 10DF Insecticide/Miticide; Aerosol NEU1161 RTU; Argyle Insecticide; Dairy & Livestock Spray Concentrate; BONIDE Pyrethrin Concentrate 60-6,,,
Vinegar Flies (Adult),27,A198.03; A198.01; F9114 EC Insecticide; Ax Zeta-Cyper 915,,,
Vinegar Flies (Adults),7,Sharda Zeta-Cypermethrin 9.15% EC,,,
Vinegar Flies (adults),2,A110.03,,,
Vinegar flies,20,LN 1% PY; Envi EC-X Emulsifiable Concentrate Insecticide; PRO-CONTROL PYRETHRIN 6EC,,,
Vines,1,Roundup VM Herbicide,,,
Vines and weeds,2,Tigris Paraquat,,,
Vinewood diseases,1,Avalaire Myclobutanil 40 WSP,,,
Virginia,32,F7127 SE HERBICIDE; LIBERTY X-METCHLORBUZIN; BLASTWAVE 480 SC; A335.05; IMAZETHAPYR 240 SL,,,
Virginia Creeper,10,F7127 SE HERBICIDE,,,
Virulent Pepino mosaic virus isolates,2,PMV-01,,,
Viruses,1,NAC 7,,,
Viscid Rot,1,Switch 62.5WG,,,
Voles,43,Zinc Phosphide in Oat Pellets; Prozap® Zinc Phosphide Oat Bait; Prozap Zinc Phosphide Pellets; Force's Mous-Con No.2; Zinc Phosphide on Wheat,,,
Volunteer,8,Sharda Metribuzin 4SC; Omni Brand Metribuzin 75 WDG; Sharda Clopyralid 40.9% EC; GCS Clopy 360SL,,,
Volunteer Alfalfa,1,Avalaire Clopyralid 3 SL,,,
Volunteer Barley,3,IMAZETHAPYR 240 SL,,,
Volunteer Crops,4,Drexel Me-Too-Lachlor MTZ,,,
Volunteer Oats,3,IMAZETHAPYR 240 SL,,,
Volunteer Wheat,20,PRUVIN® Herbicide; IMAZETHAPYR 240 SL,,,
Volunteer alfalfa,5,Clean Slate®; A339.01; LIBERTY CLOP; LPI.A026,,,
Volunteer barley,13,Rim 25 Herbicide,,,
Volunteer canola,1,AG36425 4 SL Plus Herbicide,,,
Volunteer potatoes,2,A313.02 (Stark Ultra),,,
Volunteer sorghum,2,LIBERTY X-METCHLORBUZIN; METRI DF,,,
Volunteer wheat,42,LPI Rimsulfuron; Rim 25 Herbicide; METRI DF; Avalaire Rimsulfuron 25 SG,,,
Walnut,2,AZ Lambda 2ME,,,
Walnut Aphid,270,A118.02; A115.04; A110.03; A110.05; A115.02,,,
Walnut Aphid Eggs,9,MITE-E-OIL; OMNI OIL 6; DORMANT & SUMMER SPRAY OIL; PureSpray Spray Oil 10E; BIOCOVER LS,,,
Walnut Aphid eggs,3,ClearGuard™ Horticultural Spray Oil; OMNI SUPREME SPRAY; PureSpray Green,,,
Walnut Aphids,14,MGK® 74721; Sharda Lambda-Cyhalothrin 120 EC; MGK® 7478; Chemsico Insecticide Concentrate 22L; Pyrethrum Home and Garden Powder,,,
Walnut Blight,114,AG Copp 75; 3 LB. COPPER FLOWABLE FUNGICIDE; A295.01; Armour-Zen; AmeriCop 40 DF,,,
Walnut Blight (Xanthomonas xampestris pv. juglandis),1,Manzate Pro-Stick Fungicide,,,
Walnut Caterpillar,57,A167.02; Avalaire Diflubenzuron 2 L; AX DIFLU 2L IGR; Acephate Infusible Insecticide; BIOBIT HP BIOLOGICAL INSECTICIDE WETTABLE POWDER,,,
Walnut Caterpillars,1,TEMPO 2.5 SC ULTRA CONCENTRATE,,,
Walnut Husk Flies,3,Chemsico Insecticide Concentrate 22L,,,
Walnut Husk Fly,201,A198.01; A198.03; A110.03; 2016BIFENTHRIN; A110.05,,,
Walnut Husk Fly (Adult),20,Lambda Cyhalothrin 11.4% EC; Adama Lambda CY VC 223; Chemsico Insecticide Concentrate 25LG; KAISO 24 WG INSECTICIDE; Karate Insecticide with Zeon Technology,,,
Walnut Husk Fly Maggots,1,Dibrom 8 Emulsive,,,
Walnut Husk Fly adults,10,CINNACURETM A300S,,,
Walnut Husk Fly species,15,DoubleTake; Avalaire Lambda-Cy 1 EC; Endigo® ZCX; Besiege Insecticide; AX LAMBDA-CY CRI,,,
Walnut Husk Fly species (Adult),30,Endigo® ZC; Karate 1 EC Insecticide; A115.04; A115.02; Cyhella Insecticide,,,
Walnut Husk Fly species (Adults),2,Sharda Lambda-Cyhalothrin 120 EC,,,
Walnut Husk Fly species (adult),2,LPI Lambda-Cyhalothrin,,,
Walnut Husk Fly spp.,11,Bonide FT09; CSI Lambda 1EC; Silencer; LAMBDA-CY AG; Lambda-Cy 250 CS Insecticide (Alternate Brand Name: Warlord Insecticide),,,
Walnut Husk Fly spp. (Adult),8,Lambdastar Insecticide; Lambda Select; Chemsico Insecticide Concentrate 25L,,,
Walnut Husk Fly spp. (adult),17,Bonide Lambda 0.025% Dust; Chemsico Insecticide Concentrate 63G; Chemsico Insecticide Dust L; Chemsico Insecticide Concentrate 5L; CHEMSICO INSECTICIDE CONCENTRATE 8G,,,
Walnut Scale,25,Avalaire Pyriprox 0.86 EC; Esteem 35 WP; A118.02; AX PYRIPROXYFEN 35 WSB; AVALAIRE PYRIPROXYFEN 0.86 EC,,,
Walnut Twig Beetle,3,A152.01; TREE-age RIO; Dinotefuran Tree Care 70WSP,,,
Walnut and Yellow Pecan),1,2016BIFENTHRIN,,,
Walnut aphid,42,Drexel L-C Insecticide; Centric 40WG; AZ Lambda 2ME; Cheminova Malathion 57% Low VOC; Benevia Insect Control,,,
Walnut aphid eggs,2,BioCover SS; Soydorm Oil,,,
Walnut aphids,7,MGK 74731; Prentox 5 Lb. Malathion Spray; Drexel Malathion 5EC,,,
Walnut blight,53,Bacillus subtilis CX-9090; BC18-WG; ALONGLIFE™; Agri-Life; Bonide Copper Spray or Dust,,,
Walnut caterpillar,62,A152.03; A152.02; A132.01; Confirm® 70 WSP Insecticide; Condor WP,,,
Walnut caterpillars,10,Drexel Carbaryl 4L; Imidacloprid + Cyfluthrin Insecticide; A109.02; A177.02; AKOFOS 48 EC,,,
Walnut hull loosening and harvest advance,1,ETHEPHON 2#,,,
Walnut husk flies,3,Prentox 5 Lb. Malathion Spray; Fortune Aza 3% EC,,,
Walnut husk fly,102,Battalion™ 1.5 EC Insecticide; Battalion 0.2 EC Insecticide; A177.04; Athena Insecticide; ARCTIC® 3.2 EC,,,
Walnut husk fly larvae,1,SoluNeem,,,
Walnut husk fly spp.,3,Drexel L-C Insecticide; Proaxis® Insecticide,,,
Walnut huskflies,2,Drexel Malathion 5EC,,,
Walnut lace bug,1,Tempo Concentrate Insecticide,,,
Walnut scale,16,Movento HL; Ultor; Movento; BYI 8330 150 OD Insecticide; GRANDEVO,,,
Warehouse Beetles,4,Entech Fog-10 Space Spray; PYRENONE 3-15 Space Spray,,,
Warehouse moth,1,Metabrom 100,,,
Wasps,2,Dairy & Livestock Spray Concentrate; BONIDE Pyrethrin Concentrate 60-6,,,
Watercress,6,IMAZETHAPYR 240 SL,,,
Waterhemp,154,AX FOMESAFEN 2 SL; A308.10; Avalaire Fomesafen 1.88 SL; A308.04; A383.03,,,
Waterhemp (common,6,SAUSX-01B,,,
Waterhemp (common & tall),9,Willowood Sulfentrazone MTZ DF; RIGHTLINE SULFENCORE,,,
Waterhemp (common),5,Tigris Sulfen 4 SC,,,
Waterhemp common,5,Sulfentrazone 4SC Select ABN: Sulfentrazone 4SC Prime,,,
Waterhemp spp.,10,LIBERTY X-METCHLORBUZIN; LPI.A014; A335.05,,,
Waterhemp tall,5,Sulfentrazone 4SC Select ABN: Sulfentrazone 4SC Prime,,,
Watermelon Bacterial Fruit Blotch,22,BLUE SHIELD DF; Blue Shield WP; AG Copp 75; AmeriCop 40 DF; Blue Shield 40DF,,,
Watermelon Bacterial Fruit Blotch (Suppression),3,GWN-4620; Champ Formula 2 Flowable; HIDRO CUP,,,
Watermelon Bacterial Fruit Blotch (suppression),7,BASIC COPPER 53; Basic Copper 50 HB; Kocide 2000; COPPER HYDROXIDE 30% DF; 3 LB. COPPER FLOWABLE FUNGICIDE,,,
Watermelon Mosaic Virus 2,11,PURESPRAY™ GREEN FORMULA 3; ClearGuard™ Horticultural Spray Oil; VISTA CLEAR SPRAY OIL II; PureSpray Green,,,
Watermelon bacterial fruit blotch,7,KOP-5; KOP-Hydroxide; Agri-Life; NEU1140F Copper Soap; Cueva 2.4 Copper Soap,,,
Watermelon bacterial fruit blotch (suppression),2,LPI Chesson Fungicide; Bonide Copper Spray or Dust,,,
Watermelon mosaic virus 2,3,Damoil Supreme; Damoil Dormant & Summer Spray Oil,,,
Waterprimrose,10,F7127 SE HERBICIDE,,,
Wax scale,1,APPLAUD 70DF Insect Growth Regulator,,,
Web Blight,3,Tetraconazole + Azoxystrobin; Avalaire Azoxy 2 SC,,,
Webb Blight,1,Tetraban Fungicide,,,
Webb blight,1,AX AZOXY 229,,,
Webspinning Spider Mite,1,Danitol 2.4 EC Spray,,,
Webworm,46,Danitol 2.4 EC Spray; CT Pyrethrin Insecticide Dust; Brigadier HPG Insecticide; BONIDE PYRENONE GARDEN SPRAY CONCENTRATE; Dipel (Worm Killer) Wettable Powder,,,
Webworm species,107,Avalaire Lambda-Cy 1 EC; A115.04; AZ Lambda 2ME; AX LAMBDA-CY CRI; A115.02,,,
Webworm spp.,56,Bonide FT09; Drexel L-C Insecticide; CSI Lambda 1EC; Adama Lambda CY VC 223; Actylis Lambda-Cy Insecticide,,,
Webworms,214,A122.01™; Aerosol NEU1161 RTU; A122.03; ADA 11280 Insecticide; A122.05,,,
Webworms (including garden,21,Real-Kill Rose & Garden Insect Spray II,,,
Weed and grass seeds,2,STRIKE 100CP FUMIGANT,,,
Weed control,126,AX OXYFLO 2E; A229.01; Glufosinate 280 SL; GLYPHO 6; Glyphosate 75 SG,,,
Weed desiccation,1,Crop Protect Direct Paraquat 3SL,,,
