Simplified_Target,Target_Type,Total_Count,Original_Targets
Drosophila spp. (including SWD),Other,1,Drosophila spp. (including SWD)
squash bug species,Insect,1,squash bug species
Drosophila spp. (fruit flies),Other,1,Drosophila spp. (fruit flies)
spurry,Other,1,spurry
Early and midseason processing ripening,Other,1,Early and midseason processing ripening
All listed stone fruit diseases (tank mix),Disease,1,All listed stone fruit diseases (tank mix)
All listed stone fruit diseases (Alone),Disease,1,All listed stone fruit diseases (Alone)
Field cricket,Other,1,Field cricket
tree squirrels,Vertebrate,1,tree squirrels
Fairy ring,Other,1,Fairy ring
Falcate Orangetip,Other,1,Falcate Orangetip
tomato vines,Other,1,tomato vines
Elm leaf curl,Other,1,Elm leaf curl
Alder borer,Insect,1,Alder borer
tobacco wireworm,Insect,1,tobacco wireworm
terrapin scales,Insect,1,terrapin scales
Field/Wheat Wireworm,Insect,1,Field/Wheat Wireworm
Fireblight (dormant),Insect,1,Fireblight (dormant)
Filaree redstem,Other,1,Filaree redstem
Earworm,Insect,1,Earworm
Fire Ant spp.,Insect,1,Fire Ant spp.
Fire Ants & Harvester Ants,Insect,1,Fire Ants & Harvester Ants
Early root development,Other,1,Early root development
suppression of Blue mold),Disease,1,suppression of Blue mold)
Fireant (Solenopsis spp.),Insect,1,Fireant (Solenopsis spp.)
suberized potatoes prior to dormancy break,Other,1,suberized potatoes prior to dormancy break
red scale,Insect,1,red scale
Fusarium solani,Other,1,Fusarium solani
Increase dormant bud hardiness and delay bloom,Insect,1,Increase dormant bud hardiness and delay bloom
looper species,Other,1,looper species
Hard and soft scales,Insect,1,Hard and soft scales
little leaf notcher,Other,1,little leaf notcher
Hardwood brush,Weed,1,Hardwood brush
listed pests,Other,1,listed pests
Damson plum (pest focus),Other,1,Damson plum (pest focus)
lesser peachtree borers,Insect,1,lesser peachtree borers
Hehothis spp.,Other,1,Hehothis spp.
Anthracnose (Ripe rot),Insect,1,Anthracnose (Ripe rot)
Helicotylenchus species,Other,1,Helicotylenchus species
Heliothis (Helicoverpa) spp,Other,1,Heliothis (Helicoverpa) spp
Heliothis species,Other,1,Heliothis species
Helminthosporium solani diseases,Disease,1,Helminthosporium solani diseases
Helothis spp.,Other,1,Helothis spp.
Hemicycliophora species,Other,1,Hemicycliophora species
Hemlock Woolly Adelgid,Other,1,Hemlock Woolly Adelgid
Hemp Sesbania,Other,1,Hemp Sesbania
Hemp sesbania,Other,1,Hemp sesbania
leaf),Other,1,leaf)
leaf skeletonizers,Other,1,leaf skeletonizers
Hard Scales,Insect,1,Hard Scales
Hard Lock,Other,1,Hard Lock
mummy berry),Other,1,mummy berry)
Anthracnose (Glomerella cingulata),Insect,1,Anthracnose (Glomerella cingulata)
Decrease berry set (Thinning),Other,1,Decrease berry set (Thinning)
Green fruit worms,Insect,1,Green fruit worms
midges,Insect,1,midges
microorganisms,Other,1,microorganisms
Greenhouse whiteflies,Other,1,Greenhouse whiteflies
Greening (HLB),Other,1,Greening (HLB)
Grey Mold (Botrytis cinerea),Disease,1,Grey Mold (Botrytis cinerea)
meadow spittlebugs,Insect,1,meadow spittlebugs
Groundnut bruchid,Other,1,Groundnut bruchid
Anthracnose (Elsinoe spp.),Insect,1,Anthracnose (Elsinoe spp.)
Dead Bud and Bacterial Canker (Pseudomonas syringae),Disease,1,Dead Bud and Bacterial Canker (Pseudomonas syringae)
maggots,Insect,1,maggots
Groundsel common,Other,1,Groundsel common
Dead Bud Bacterial Canker,Disease,1,Dead Bud Bacterial Canker
Growth retardation,Other,1,Growth retardation
Grub Complex,Insect,1,Grub Complex
Gymnosporangium juniperi-viginianae,Other,1,Gymnosporangium juniperi-viginianae
lygus bug,Insect,1,lygus bug
loosening sooty mold,Disease,1,loosening sooty mold
leaf scorch,Other,1,leaf scorch
Dainty Sulphur,Other,1,Dainty Sulphur
Hickory,Other,1,Hickory
Cyst nematode (Heterodera spp.),Other,1,Cyst nematode (Heterodera spp.)
Hypericum boreale,Other,1,Hypericum boreale
hornworm,Insect,1,hornworm
horn worms,Insect,1,horn worms
Anthracnose Leaf and Fruit Rot,Insect,1,Anthracnose Leaf and Fruit Rot
Imported crucifer weevils,Insect,1,Imported crucifer weevils
Anthracnose blue mold,Insect,1,Anthracnose blue mold
Imported saltmarsh Southern cabbageworm,Insect,1,Imported saltmarsh Southern cabbageworm
Cucurbit Wilting,Disease,1,Cucurbit Wilting
Cucumber mosaic virus (CMV),Disease,1,Cucumber mosaic virus (CMV)
Improve quality,Other,1,Improve quality
Improve tuber turgidity and reduce pressure bruising,Other,1,Improve tuber turgidity and reduce pressure bruising
Improved fruit and rind quality,Other,1,Improved fruit and rind quality
Improved fruit set and increased berry size,Other,1,Improved fruit set and increased berry size
Improved fruit size,Other,1,Improved fruit size
Improving fruit set following freeze damage,Other,1,Improving fruit set following freeze damage
Increase berry size and cluster size,Other,1,Increase berry size and cluster size
gummosis),Other,1,gummosis)
gummosis,Other,1,gummosis
Increase cluster length and improve air circulation,Other,1,Increase cluster length and improve air circulation
Hull loosening and early harvest,Other,1,Hull loosening and early harvest
Anthracnose Leaf Blight,Insect,1,Anthracnose Leaf Blight
Hull loosening,Other,1,Hull loosening
lace bug,Insect,1,lace bug
leaf footed plant bug,Insect,1,leaf footed plant bug
leaf blotch,Other,1,leaf blotch
Hickory Spider,Insect,1,Hickory Spider
late,Other,1,late
larvae),Insect,1,larvae)
Anthracnose Blossom Blight/Brown Rot,Insect,1,Anthracnose Blossom Blight/Brown Rot
Anthracnose Fruit Rot (Ripe Rot),Insect,1,Anthracnose Fruit Rot (Ripe Rot)
Honeylocust Plant Bugs,Insect,1,Honeylocust Plant Bugs
kudzu bugs,Insect,1,kudzu bugs
improve skin appearance,Other,1,improve skin appearance
Hornflies,Other,1,Hornflies
Cynipid Gall Wasps,Insect,1,Cynipid Gall Wasps
Anthracnose Fruit rot (Colletotrichum acutatum),Insect,1,Anthracnose Fruit rot (Colletotrichum acutatum)
increase yield and quality,Other,1,increase yield and quality
increase yield and improve quality,Other,1,increase yield and improve quality
increase yield and aid harvest,Other,1,increase yield and aid harvest
increase tuber set,Other,1,increase tuber set
improve tuber size uniformity,Other,1,improve tuber size uniformity
mummy berry disease,Disease,1,mummy berry disease
Green clover worm,Insect,1,Green clover worm
Fusarium yellows,Other,1,Fusarium yellows
pineneedle scale (crawler),Insect,1,pineneedle scale (crawler)
Glover Scale,Insect,1,Glover Scale
pillbug,Insect,1,pillbug
pickleworms,Insect,1,pickleworms
Gnats (Blackflies),Insect,1,Gnats (Blackflies)
pickle worm,Insect,1,pickle worm
Gnomonia (anthracnose),Insect,1,Gnomonia (anthracnose)
Desiccation of potato foliage and vines,Other,1,Desiccation of potato foliage and vines
Gourd,Other,1,Gourd
Annual broadleaves,Other,1,Annual broadleaves
Desiccation of foliage,Other,1,Desiccation of foliage
Desert Orangetip,Other,1,Desert Orangetip
pepper maggots,Insect,1,pepper maggots
Annual sowthistle (suppression),Weed,1,Annual sowthistle (suppression)
Grape Tumid Gallmaker,Other,1,Grape Tumid Gallmaker
pecan phylloxera species,Other,1,pecan phylloxera species
Grape Vine Root Borer,Insect,1,Grape Vine Root Borer
Grape curculio,Other,1,Grape curculio
pecan casebearer species,Other,1,pecan casebearer species
Desert Marble,Other,1,Desert Marble
Annual Sowthistle (suppression),Weed,1,Annual Sowthistle (suppression)
Glomerella (spot anthracnose),Insect,1,Glomerella (spot anthracnose)
Decrease or eliminate fruit set,Other,1,Decrease or eliminate fruit set
Glomerella (anthracnose rot),Insect,1,Glomerella (anthracnose rot)
Fusarium),Other,1,Fusarium)
Galinsog,Other,1,Galinsog
Galinsoga hairy,Other,1,Galinsoga hairy
Gall Wasps,Insect,1,Gall Wasps
Didymella bryoniae,Other,1,Didymella bryoniae
Didymella,Other,1,Didymella
puffiness,Other,1,puffiness
Diaprepes root weevil larvae,Insect,1,Diaprepes root weevil larvae
Glassy winged Sharpshooter,Other,1,Glassy winged Sharpshooter
prevent preharvest drop,Other,1,prevent preharvest drop
Diaprepes Root Weevil larvae and adults,Insect,1,Diaprepes Root Weevil larvae and adults
Glassy-winged sharpshooters,Other,1,Glassy-winged sharpshooters
post-harvest pathogens,Disease,1,post-harvest pathogens
plum),Other,1,plum)
Devil’s-claw,Other,1,Devil’s-claw
Gloeosporium (spot anthracnose),Insect,1,Gloeosporium (spot anthracnose)
Annual Sedges,Weed,1,Annual Sedges
plant bug species including lygus species,Insect,1,plant bug species including lygus species
Gloesporium,Other,1,Gloesporium
Grape phylloxera (suppression only),Other,1,Grape phylloxera (suppression only)
pear midge,Insect,1,pear midge
peachtree borer,Insect,1,peachtree borer
Grape sucker control,Other,1,Grape sucker control
odor-causing bacteria,Disease,1,odor-causing bacteria
oblique-banded),Other,1,oblique-banded)
Anthracnose (Colletotrichum higginsianum),Insect,1,Anthracnose (Colletotrichum higginsianum)
Gray mold (suppression),Disease,1,Gray mold (suppression)
Gray mould,Other,1,Gray mould
Great Southern White,Other,1,Great Southern White
Delay rind aging and firm rind,Other,1,Delay rind aging and firm rind
Delay rind aging after color break,Other,1,Delay rind aging after color break
Green Clover Worm,Insect,1,Green Clover Worm
Anthracnose (Colletotrichum orbiculare),Insect,1,Anthracnose (Colletotrichum orbiculare)
Delay fruit maturity,Other,1,Delay fruit maturity
Delay disorders and increase peel strength,Other,1,Delay disorders and increase peel strength
Dectes Stem Borer,Insect,1,Dectes Stem Borer
navel orange worms,Insect,1,navel orange worms
Decreased berry set (Thinning),Other,1,Decreased berry set (Thinning)
Green Spanworm,Insect,1,Green Spanworm
Decrease small ripe fruit and improve yield pattern,Other,1,Decrease small ripe fruit and improve yield pattern
Green and Brown Spanworm,Insect,1,Green and Brown Spanworm
Anthracnose (Colletotrichum),Insect,1,Anthracnose (Colletotrichum)
odors,Other,1,odors
omnivorous leaf roller,Insect,1,omnivorous leaf roller
onion maggot,Insect,1,onion maggot
Delayed rind aging,Other,1,Delayed rind aging
peach tree borers,Insect,1,peach tree borers
peach tree borer,Insect,1,peach tree borer
pea weevil,Insect,1,pea weevil
payment ants,Insect,1,payment ants
Dermestids,Other,1,Dermestids
Delayed spring bloom,Other,1,Delayed spring bloom
Delayed rind softening and creasing,Other,1,Delayed rind softening and creasing
Grapeleaf skeletonizers,Other,1,Grapeleaf skeletonizers
Delayed harvest; improved color and firmness,Other,1,Delayed harvest; improved color and firmness
Delay rind aging and reduce creasing,Other,1,Delay rind aging and reduce creasing
Delayed fruit maturity,Other,1,Delayed fruit maturity
Delay rind disorders,Other,1,Delay rind disorders
Delay rind aging and soften (Florida all-round),Other,1,Delay rind aging and soften (Florida all-round)
Gray Leaf mold,Disease,1,Gray Leaf mold
Delay rind aging and reduce physiological disorders (Navels),Other,1,Delay rind aging and reduce physiological disorders (Navels)
other nuisance pests,Other,1,other nuisance pests
orange dog worm,Insect,1,orange dog worm
orange dog,Other,1,orange dog
Anthracnose (Elsinoe ampelina),Insect,1,Anthracnose (Elsinoe ampelina)
Wild mustards,Other,1,Wild mustards
anthracnose (Elsinoe spp.),Insect,1,anthracnose (Elsinoe spp.)
Cabbage root maggot (suppression),Insect,1,Cabbage root maggot (suppression)
Strawberry clippers,Other,1,Strawberry clippers
Queen Alexandria’s Sulphur,Other,1,Queen Alexandria’s Sulphur
Rachiplusia nu (inchworm),Insect,1,Rachiplusia nu (inchworm)
Raisin quality improvement,Other,1,Raisin quality improvement
Rannoch Looper,Other,1,Rannoch Looper
Cadelle,Other,1,Cadelle
Strawberry Leaf Roller,Insect,1,Strawberry Leaf Roller
Strawberry Bud Weevil (Strawberry Clipper),Insect,1,Strawberry Bud Weevil (Strawberry Clipper)
Strawberry Bud Weevil,Insect,1,Strawberry Bud Weevil
Blossom and Shoot blast,Other,1,Blossom and Shoot blast
Sunburn and heat stress,Other,1,Sunburn and heat stress
Cabbage root maggot,Insect,1,Cabbage root maggot
Re-greening mature fruit,Other,1,Re-greening mature fruit
Cabbage maggots,Insect,1,Cabbage maggots
Red Banded Leaf Roller,Insect,1,Red Banded Leaf Roller
Red Bug,Insect,1,Red Bug
Storage area disinfection,Disease,1,Storage area disinfection
Stone-Hole,Other,1,Stone-Hole
Red Clover,Weed,1,Red Clover
Red Seed,Other,1,Red Seed
Strawberry fruit and foliar diseases,Disease,1,Strawberry fruit and foliar diseases
Blossom,Other,1,Blossom
Strawberry fruitworms,Insect,1,Strawberry fruitworms
Pythium spp,Other,1,Pythium spp
Pseudomonas Blast,Other,1,Pseudomonas Blast
Blackheaded fireworms,Insect,1,Blackheaded fireworms
Blackrot (Xanthomonas campestris),Insect,1,Blackrot (Xanthomonas campestris)
Pseudomonas sp.,Other,1,Pseudomonas sp.
Psyllid species,Other,1,Psyllid species
Blast,Other,1,Blast
Blattella asahinae,Other,1,Blattella asahinae
Stubborn disease,Disease,1,Stubborn disease
Purple-Backed Cabbage,Other,1,Purple-Backed Cabbage
Stretch (looser cluster),Other,1,Stretch (looser cluster)
Stretch,Other,1,Stretch
Blind nodes,Other,1,Blind nodes
California Orangedog,Other,1,California Orangedog
Blind wood reduction,Other,1,Blind wood reduction
Blister,Other,1,Blister
Blister flies,Other,1,Blister flies
Strawberry rootworm,Insect,1,Strawberry rootworm
California Marble,Other,1,California Marble
California Dogface,Other,1,California Dogface
Red Spider Spp.,Insect,1,Red Spider Spp.
Cabbage White,Other,1,Cabbage White
Red color and skin appearance enhancement,Other,1,Red color and skin appearance enhancement
Sting Bug,Insect,1,Sting Bug
Reduce rind creasing and soften disorders (Valencia),Other,1,Reduce rind creasing and soften disorders (Valencia)
Stimulate fruit set in cool weather,Other,1,Stimulate fruit set in cool weather
Reduce small ripe fruit,Other,1,Reduce small ripe fruit
Sticktight,Other,1,Sticktight
Reduced berry set,Other,1,Reduced berry set
Stem mildew,Disease,1,Stem mildew
Replanting interval (by seed),Insect,1,Replanting interval (by seed)
Stem and stolon canker,Disease,1,Stem and stolon canker
Replanting interval (from transplant),Insect,1,Replanting interval (from transplant)
Rescue treatment – sprouts (0.5 inch to 1 inch),Other,1,Rescue treatment – sprouts (0.5 inch to 1 inch)
Return bloom enhancement,Other,1,Return bloom enhancement
Return bloom maintenance,Other,1,Return bloom maintenance
Stem & stolon canker,Disease,1,Stem & stolon canker
Return bloom reduction,Other,1,Return bloom reduction
Stella Orangetip,Other,1,Stella Orangetip
Rhizoctonia Canker and Black Scurf,Disease,1,Rhizoctonia Canker and Black Scurf
Rhizoctonia Canker and Black Scurf (Rhizoctonia solani),Disease,1,Rhizoctonia Canker and Black Scurf (Rhizoctonia solani)
Rhizoctonia damping off,Other,1,Rhizoctonia damping off
Rhizoctonia damping-off,Other,1,Rhizoctonia damping-off
Reduce rind creasing and delay softening,Other,1,Reduce rind creasing and delay softening
Blue Mold suppression),Disease,1,Blue Mold suppression)
Cabbage Seedpod Weevil,Insect,1,Cabbage Seedpod Weevil
Blue Mold (suppression),Disease,1,Blue Mold (suppression)
Red root,Other,1,Red root
Red spider),Insect,1,Red spider)
Red-Banded),Other,1,Red-Banded)
Red-Striped Fireworm,Insect,1,Red-Striped Fireworm
Cabbage Lopper,Other,1,Cabbage Lopper
Stink Bugs (excluding brown),Insect,1,Stink Bugs (excluding brown)
Stink Bugs (excluding Brown),Insect,1,Stink Bugs (excluding Brown)
Rednecked Cane Borer,Insect,1,Rednecked Cane Borer
Blowflies,Other,1,Blowflies
Stink Bug spps.,Insect,1,Stink Bug spps.
Blue,Other,1,Blue
Reduce berry set and hasten maturity,Other,1,Reduce berry set and hasten maturity
Reduce berry shrivel,Other,1,Reduce berry shrivel
Blue Green Citrus root weevil,Insect,1,Blue Green Citrus root weevil
Reduce berry shrivel and increase berry size,Other,1,Reduce berry shrivel and increase berry size
Reduce flowering and fruiting in young trees,Other,1,Reduce flowering and fruiting in young trees
Blue Green citrus root weevil,Insect,1,Blue Green citrus root weevil
Sting nematode (Belonolaimus spp.),Other,1,Sting nematode (Belonolaimus spp.)
Reduce rind creasing,Other,1,Reduce rind creasing
Summer diseases,Disease,1,Summer diseases
Prunelimb Borer,Insect,1,Prunelimb Borer
Rhizoctonia solani (stem canker),Disease,1,Rhizoctonia solani (stem canker)
Tearthumb,Other,1,Tearthumb
Potato Tuber Worms,Insect,1,Potato Tuber Worms
Tephritid spp. (Fruit Flies),Other,1,Tephritid spp. (Fruit Flies)
Tephritid spp.,Other,1,Tephritid spp.
Cane and Stem Canker),Disease,1,Cane and Stem Canker)
Tentiform leaf miner,Insect,1,Tentiform leaf miner
Potato Yellows,Other,1,Potato Yellows
Black scurf & Stem canker (Rhizoctonia solani),Disease,1,Black scurf & Stem canker (Rhizoctonia solani)
Black scurf & Stem canker (Rhizoctonia solani) (Suppression only),Disease,1,Black scurf & Stem canker (Rhizoctonia solani) (Suppression only)
Black scurf (Rhizoctonia solani),Other,1,Black scurf (Rhizoctonia solani)
Potato early dying,Other,1,Potato early dying
Suppression of Botrytis on the Foliage,Other,1,Suppression of Botrytis on the Foliage
Potato flea,Other,1,Potato flea
Candidatus Liberibacter spp.,Other,1,Candidatus Liberibacter spp.
Potato leaf roll virus symptoms,Disease,1,Potato leaf roll virus symptoms
Black scurf and Stem canker,Disease,1,Black scurf and Stem canker
Black scurf of potato,Other,1,Black scurf of potato
Canadian thistle,Weed,1,Canadian thistle
Black twig borer,Insect,1,Black twig borer
Black vine Weevil,Insect,1,Black vine Weevil
Potato psyllid (suppression),Other,1,Potato psyllid (suppression)
Potato Psyllid (suppression),Other,1,Potato Psyllid (suppression)
Black scales (single and off-brooded),Insect,1,Black scales (single and off-brooded)
Cane anthracnose,Insect,1,Cane anthracnose
Tetranychus cinnabarinus,Other,1,Tetranychus cinnabarinus
Three-cornered alfalfa hopper,Insect,1,Three-cornered alfalfa hopper
Porophyllum rederale,Other,1,Porophyllum rederale
Thousand Cankers Disease,Disease,1,Thousand Cankers Disease
Thistle Russian,Weed,1,Thistle Russian
Canker (suppression),Disease,1,Canker (suppression)
Thirteen-lined Ground Squirrel,Vertebrate,1,Thirteen-lined Ground Squirrel
Thinning and return bloom (most varieties),Other,1,Thinning and return bloom (most varieties)
Thinning and return bloom (difficult varieties),Other,1,Thinning and return bloom (difficult varieties)
Post-Harvest Sanitation,Other,1,Post-Harvest Sanitation
Post-harvest diseases,Disease,1,Post-harvest diseases
Black pitting,Other,1,Black pitting
Black scale (single and off-brooded),Insect,1,Black scale (single and off-brooded)
Texas),Other,1,Texas)
Post-harvest spoilage and decay organisms,Other,1,Post-harvest spoilage and decay organisms
Postbloom Fruit Drop (Colletotrichum acutatum),Other,1,Postbloom Fruit Drop (Colletotrichum acutatum)
Postharvest decay,Other,1,Postharvest decay
Potato Cyst,Other,1,Potato Cyst
Tetranychus urticae,Other,1,Tetranychus urticae
Tetranychus turkestani,Other,1,Tetranychus turkestani
Potato sprouts (0.2 inch or below),Other,1,Potato sprouts (0.2 inch or below)
Taphrina deformans,Other,1,Taphrina deformans
Potato sprouts (0.2 inch to 0.5 inch),Other,1,Potato sprouts (0.2 inch to 0.5 inch)
Preharvest Desiccation,Other,1,Preharvest Desiccation
Preharvest fruit cracking,Other,1,Preharvest fruit cracking
Preharvest fruit drop,Other,1,Preharvest fruit drop
Sweet Potato Vine Borers,Insect,1,Sweet Potato Vine Borers
Sweet Potato Leaf Vine Borer,Insect,1,Sweet Potato Leaf Vine Borer
Sweet Potato Hornworms,Insect,1,Sweet Potato Hornworms
Preventative pre-plant treatment for crown gall,Insect,1,Preventative pre-plant treatment for crown gall
Sweet Clover Weevil (Adult),Insect,1,Sweet Clover Weevil (Adult)
Primocane control,Other,1,Primocane control
Produce larger,Other,1,Produce larger
Produce larger fruit,Other,1,Produce larger fruit
Blackberry/Dewberry,Other,1,Blackberry/Dewberry
Promote plant growth and increase fruit set,Insect,1,Promote plant growth and increase fruit set
Suppression: Root and crown Anthracnose,Insect,1,Suppression: Root and crown Anthracnose
Suppression: Botrytis,Other,1,Suppression: Botrytis
Suppression of vine decline,Other,1,Suppression of vine decline
Suppression of Vine Decline (Monosporascus),Other,1,Suppression of Vine Decline (Monosporascus)
Promote spur formation and reduce blind nodes,Other,1,Promote spur formation and reduce blind nodes
Suppression of Fairy Ring,Other,1,Suppression of Fairy Ring
Promotion of staminate (male) flowers,Other,1,Promotion of staminate (male) flowers
Sweet potato Hornworm,Insect,1,Sweet potato Hornworm
Pre-harvest fruit drop control,Other,1,Pre-harvest fruit drop control
Potato storage area disinfection,Disease,1,Potato storage area disinfection
BlackPox,Other,1,BlackPox
Potato storage diseases,Disease,1,Potato storage diseases
Canadian Thistle,Weed,1,Canadian Thistle
Potato virus Y (PVY),Disease,1,Potato virus Y (PVY)
Tangelo Yellow scales,Insect,1,Tangelo Yellow scales
Canada Thistle (suppression),Weed,1,Canada Thistle (suppression)
Tall Morningglory,Weed,1,Tall Morningglory
Potatoes undergoing reconditioning,Other,1,Potatoes undergoing reconditioning
Potentilla pacifica,Other,1,Potentilla pacifica
Tailed Orange,Other,1,Tailed Orange
Table grapes color development,Other,1,Table grapes color development
Tabanids,Other,1,Tabanids
Tabanidae,Other,1,Tabanidae
TMV,Other,1,TMV
Powdery Mifdew,Disease,1,Powdery Mifdew
Synergist for Pear Psylla insecticides,Other,1,Synergist for Pear Psylla insecticides
Symptoms of Potato leaf roll virus,Disease,1,Symptoms of Potato leaf roll virus
Canada (suppression only),Other,1,Canada (suppression only)
Black vine weevil larvae,Insect,1,Black vine weevil larvae
Black-headed Fireworm,Insect,1,Black-headed Fireworm
Rhizoctonia solani (stem canker and black scurf),Disease,1,Rhizoctonia solani (stem canker and black scurf)
Rhizoctonia solani (tuber black scurf),Other,1,Rhizoctonia solani (tuber black scurf)
annual sowthistle (suppression),Weed,1,annual sowthistle (suppression)
Soft-shelled scales,Insect,1,Soft-shelled scales
Scurfy Scales,Insect,1,Scurfy Scales
Scurfy scales,Insect,1,Scurfy scales
Soil dwelling insects,Other,1,Soil dwelling insects
Botrytis Leaf Mold (Botrytis cinerea),Disease,1,Botrytis Leaf Mold (Botrytis cinerea)
Sea chalcids,Other,1,Sea chalcids
Broaden harvest timing with delayed fruit maturity,Other,1,Broaden harvest timing with delayed fruit maturity
Sedgemustardoses,Weed,1,Sedgemustardoses
Sedges (Carex spp.),Weed,1,Sedges (Carex spp.)
Sedges partially controlled,Weed,1,Sedges partially controlled
Soft-shelled Scales,Insect,1,Soft-shelled Scales
Southern Blue Green Root Weevil,Insect,1,Southern Blue Green Root Weevil
Soft-shelled Scale,Insect,1,Soft-shelled Scale
Seed Corn Magot,Other,1,Seed Corn Magot
Broad necked root borer,Insect,1,Broad necked root borer
Seed Decay and Early Season Diseases,Disease,1,Seed Decay and Early Season Diseases
Seed Piece Treatment,Other,1,Seed Piece Treatment
Seed Pod Weevil,Insect,1,Seed Pod Weevil
Bristly foxtail,Weed,1,Bristly foxtail
Soft Shelled Scales,Insect,1,Soft Shelled Scales
Soft Shelled Scale,Insect,1,Soft Shelled Scale
Scolytids,Other,1,Scolytids
Scarlet Morningglory,Weed,1,Scarlet Morningglory
Scale spp.,Insect,1,Scale spp.
Broadnecked root borer,Insect,1,Broadnecked root borer
San Jose scale (crawler),Insect,1,San Jose scale (crawler)
Brown Marmorated Stinkbug (except CA),Insect,1,Brown Marmorated Stinkbug (except CA)
Botrytis (Gray Mold),Disease,1,Botrytis (Gray Mold)
Sanitation of fruit and vegetables,Other,1,Sanitation of fruit and vegetables
Sanitation of pecans,Other,1,Sanitation of pecans
Scab (dormant),Insect,1,Scab (dormant)
Scale (Brown Apricot),Insect,1,Scale (Brown Apricot)
Botrytis (Suppression),Other,1,Botrytis (Suppression)
Scale (European Fruit),Insect,1,Scale (European Fruit)
Botrytis (foliar suppression),Other,1,Botrytis (foliar suppression)
Scale (Florida red),Insect,1,Scale (Florida red)
Scale (Frosted),Insect,1,Scale (Frosted)
Sooty Blotch (Gloeodes),Other,1,Sooty Blotch (Gloeodes)
Scale (Italian Pear),Insect,1,Scale (Italian Pear)
Sonchus spp.,Other,1,Sonchus spp.
Scale (Soft Shelled),Insect,1,Scale (Soft Shelled)
Soilborne pathogens,Disease,1,Soilborne pathogens
Botrytis (suppression on foliage),Other,1,Botrytis (suppression on foliage)
Soilborne Diseases,Disease,1,Soilborne Diseases
Seed piece decay,Other,1,Seed piece decay
Botrytis damping off,Other,1,Botrytis damping off
Seed sprouting,Other,1,Seed sprouting
Sizing (larger berries),Other,1,Sizing (larger berries)
Septoria albopunctatum,Other,1,Septoria albopunctatum
Botrytis spp. (seedborne fungi causing seed decay and damping-off),Other,1,Botrytis spp. (seedborne fungi causing seed decay and damping-off)
Botrytis suppression,Other,1,Botrytis suppression
Septoria stem canker,Disease,1,Septoria stem canker
Sex expression modification for hybrid seed production,Other,1,Sex expression modification for hybrid seed production
Silver scurf (Helminthosporium solam),Other,1,Silver scurf (Helminthosporium solam)
Botrytis),Other,1,Botrytis)
Shape tree canopy,Other,1,Shape tree canopy
Botrytis/ Gray Mold,Disease,1,Botrytis/ Gray Mold
Silver Leaf),Other,1,Silver Leaf)
Shepherd's Purse,Other,1,Shepherd's Purse
Sigatoka,Other,1,Sigatoka
Shepherd's purse,Other,1,Shepherd's purse
Shepherds purse,Other,1,Shepherds purse
Shuckworm,Insect,1,Shuckworm
Shore flies,Other,1,Shore flies
Shothole Borer,Insect,1,Shothole Borer
Shothole (Stigmina spp.),Other,1,Shothole (Stigmina spp.)
Shothole (Stigmina spp),Other,1,Shothole (Stigmina spp)
Septoria Fruit,Other,1,Septoria Fruit
Brighter color,Other,1,Brighter color
Seed-borne Black leg disease,Disease,1,Seed-borne Black leg disease
Sleepy Orange,Other,1,Sleepy Orange
Botrytis grey mold,Disease,1,Botrytis grey mold
Sod Webworms,Insect,1,Sod Webworms
Snowy tree crickets,Other,1,Snowy tree crickets
Seed-borne Silver Scurf (Helminthosporium solani),Other,1,Seed-borne Silver Scurf (Helminthosporium solani)
Snow mold,Disease,1,Snow mold
Seed-borne Verticillium dahliae,Other,1,Seed-borne Verticillium dahliae
Bristly Starbur,Other,1,Bristly Starbur
Botrytis on foliage (suppression),Other,1,Botrytis on foliage (suppression)
Seed-borne fungi,Other,1,Seed-borne fungi
Seedborne fungi,Other,1,Seedborne fungi
Botrytis on the Foliage,Other,1,Botrytis on the Foliage
Seedling Disease,Disease,1,Seedling Disease
Smallflower Morningglory,Weed,1,Smallflower Morningglory
Seedling Diseases,Disease,1,Seedling Diseases
Botrytis on the foliage (suppression only),Other,1,Botrytis on the foliage (suppression only)
Botrytis species,Other,1,Botrytis species
Seedling diseases,Disease,1,Seedling diseases
Brighter color and firmer fruit,Other,1,Brighter color and firmer fruit
Senecio vulgaris,Other,1,Senecio vulgaris
San Jose and other Soft-Shelled Scale,Insect,1,San Jose and other Soft-Shelled Scale
Botryosphaeria rhodina infections,Disease,1,Botryosphaeria rhodina infections
Rhododendron Borer,Insect,1,Rhododendron Borer
Bog rush,Weed,1,Bog rush
Robust foxtails,Weed,1,Robust foxtails
Sprout inhibition and suppression,Other,1,Sprout inhibition and suppression
Sprout inhibition (processing max),Other,1,Sprout inhibition (processing max)
Sprout inhibition (fresh market max),Other,1,Sprout inhibition (fresh market max)
Bog St. John’s wort,Other,1,Bog St. John’s wort
Spring White,Other,1,Spring White
Spring Cankerworms,Insect,1,Spring Cankerworms
Spring Cankerworm,Insect,1,Spring Cankerworm
Bog St. John’s wort (Hypericum boreale),Other,1,Bog St. John’s wort (Hypericum boreale)
Root Magots,Other,1,Root Magots
Southern Corn Rootworm (Adults),Insect,1,Southern Corn Rootworm (Adults)
Spot anthracnose (scab),Insect,1,Spot anthracnose (scab)
Spoilage and decay‐causing organisms,Other,1,Spoilage and decay‐causing organisms
Buckeye,Other,1,Buckeye
