Original_Target,Suggested_Simplified_Target and Disease Common Name,Target_Type,Crop/Specification,Causal organism,Count,Examples,Notes,,,,Count:,2584
Scales (Black,Scales,Insect,Black,,2,Damoil Supreme,,,,,,
Scales (Crawlers),Scales,Insect,,,7,ORTHENE 97 PELLETS,,,,,,
Scales (crawlers),Scales,Insect,,,6,A1115.04; Spirotetramat 240 SC Greenhouse and Nursery Insecticide/Miticide,,,,,,
Scales (except Black or Snow),Scales,Insect,"Black, Snow",,7,Dimethoate 2.67 EC; Drexel Dimethoate LV-2.67; Dimethoate 400; DREXEL DIMETHOATE 4EC,,,,,,
Scales (except black or snow),Scales,Insect,"Black, Snow",,6,DIMETHOATE 2.67 EC; Dimethoate 4E; Dimethoate 400; DIMETHOATE 480 g/L,,,,,,
scales (except black or snow),Scales,Insect,"Black, Snow",,3,Agrisolutions Dimate 4E,,,,,,
Scales (Hard,Scales,Insect,Hard,,2,Brandt STS Horticultural Oil,,,,,,
Scales (Hard & Soft),Scales,Insect,"Hard, Soft",,7,RTSA Horticultural Oil; SUNSPRAY 6E PLUS; LESCO Horticultural Oil Plus,,,,,,
Scales (hard),Scales,Insect,Hard,,2,Summit Year-Round Spray Oil,,,,,,
Scales (immature),Scales,Insect,,,4,Summit Year-Round Spray Oil,,,,,,
Scales (soft),Scales,Insect,Soft,,2,Summit Year-Round Spray Oil,,,,,,
Scales (suppression),Scales,Insect,,,2,Closer SC,,,,,,
Scales including Black Scale,Scales,Insect,Black,,3,SUNSPRAY 6E PLUS; LESCO Horticultural Oil Plus,,,,,,
Scarab Beetle (Adults),Beetles,Insect,Scarab,,1,Sharda Clothianidin 23% SC (CRASH SC),,,,,,
Scarab beetle (adults),Beetles,Insect,Scarab,,1,V-10170 2.13 SC Insecticide,,,,,,
scarlet,scarlet,Other,,,10,F7127 SE HERBICIDE,Review needed - unclear target type,,,,,
Scarlet Morningglory,Morningglory,Weed,Scarlet,,1,WILLOWOOD FOMESAFEN 1.88 SL,,,,,,
Schizothyrium (fly speck),Fly speck,Insect,,,1,Carb-O-Nator,,,,,,
Sciarid Flies,Sciarid Flies,Other,,,18,LN 1% PY,Review needed - unclear target type,,,,,
Scirtothrips citri,Thrips,Insect,,Scirtothrips citri,2,FDF 50 SL Concentrate,,,,,,
Sclerotial blight,Blight,Disease,,Sclerotinia spp.,2,Botran 75-W; Botran® 5F Fungicide,,,,,,
Sclerotinia,Sclerotinia spp.,Disease,,Sclerotinia spp.,109,AmyProtec 42; CX-9030; ARMOUR-Zen 15%; CX-9032; Companion Maxx Phosphite,,,,,,
Sclerotinia blight,Blight,Disease,,Sclerotinia spp.,2,Natamycin L; Endura Pro fungicide,,,,,,
Sclerotinia drop,Drop,Disease,,Sclerotinia spp.,1,Imbrex Xemium Fungicide Technical,,,,,,
Sclerotinia Head and Leaf Drop,"Head Drop, Leaf Drop",Disease,,Sclerotinia spp.,44,Forticept EP #1; BACIX; ARMOUR-Zen 15%; BOTRY-Zen; BW165E WP,,,,,,
Sclerotinia head and leaf drop,"Head Drop, Leaf Drop",Disease,,Sclerotinia spp.,7,STK-73; BC18-WG; TS601®; Timorex Gold,,,,,,
Sclerotinia Head and Leaf Drop / Pink Rot,"Head Drop, Leaf Drop, Pink Rot",Disease,,Sclerotinia spp.,1,SERENADE ASO,,,,,,
Sclerotinia head and leaf drop/Pink rot,"Head Drop, Leaf Drop, Pink Rot",Disease,,Sclerotinia spp.,1,Theia Fungicide,,,,,,
Sclerotinia homeocarpa,Sclerotinia homeocarpa,Disease,,Sclerotinia spp.,20,BW240 WP Biological Fungicide,,,,,,
Sclerotinia minor,Sclerotinia minor,Disease,,Sclerotinia spp.,3,ENV503 Biofungicide Wettable Powder,,,,,,
Sclerotinia minor (Sclerotinia blight),Sclerotinia minor,Disease,,Sclerotinia spp.,22,MBI-601 EP,,,,,,
Sclerotinia rot,Rot,Disease,,Sclerotinia spp.,17,Avalaire Cyprodinil + Fludioxonil; A230.04; A254.02; Cannonball WG; AX FLUDI-CYPRO,,,,,,
Sclerotinia Rot and Blight,"Rot, Blight",Disease,,Sclerotinia spp.,3,Sharda Boscalid 70% WDG; Sharda Bos. 25.2% + Pyra. 12.8% WG II; Sharda Bos. 25.2% + Pyra. 12.8% WG,,,,,,
Sclerotinia rot and blight,"Rot, Blight",Disease,,Sclerotinia spp.,1,PRISTINE FUNGICIDE,,,,,,
Sclerotinia Sclerotiorum,Sclerotinia Sclerotiorum,Disease,,Sclerotinia spp.,2,DEBUG OPTIMO,,,,,,
Sclerotinia sclerotiorum,Sclerotinia Sclerotiorum,Disease,,Sclerotinia spp.,26,Timorex Gold; Botran 75-W; BOTRY-Zen; Polyversum®; BW165E WP,,,,,,
Sclerotinia sclerotiorum),Sclerotinia Sclerotiorum,Disease,,Sclerotinia spp.,14,PHC 25279,,,,,,
Sclerotinia shoot blight,Shoot Blight,Disease,,Sclerotinia spp.,4,DuPont™ Aproach®; Treoris,,,,,,
Sclerotinia shoot blight and green fruit rot,"Shoot Blight, Green Fruit Rot",Disease,,Sclerotinia spp.,6,Vertisan; Fontelis,,,,,,
Sclerotinia spp.,Sclerotinia spp.,Disease,,Sclerotinia spp.,35,QST 713 FS; LALSTOP CONTANS WG; Pageant Intrinsic Brand Fungicide; BW165E WP; CH2970/CH3000,,,,,,
Sclerotinia stem,Stem Rot,Disease,,Sclerotinia spp.,3,Dovetail,,,,,,
Sclerotinia Stem Rot,Stem Rot,Disease,,Sclerotinia spp.,4,LPI Thio-M 70 WSB; Sharda Boscalid 70% WDG; Sharda Bos. 25.2% + Pyra. 12.8% WG,,,,,,
Sclerotinia stem rot,Stem Rot,Disease,,Sclerotinia spp.,24,FLU+DFO; Fontelis; Imbrex Xemium Fungicide Technical; Endura Fungicide; Cabrio® EG Fungicide,,,,,,
Sclerotinia Stem Rot (Sclerotinia sclerotiorum),Stem Rot,Disease,,Sclerotinia spp.,2,PHC 25279,,,,,,
Sclerotinia Stem Rot / Watery Soft Rot (Sclerotinia spp.),Stem Rot,Disease,,Sclerotinia spp.,2,PHC 25279,,,,,,
Sclerotinia Stem Rot / White Mold (Sclerotinia sclerotiorum),Stem Rot,Disease,,Sclerotinia spp.,4,PHC 25279,,,,,,
Sclerotinia stem rot/timber rot,Stem Rot,Disease,,Sclerotinia spp.,2,Endura Pro fungicide,,,,,,
Sclerotinia stem rot/White mold (suppression),Stem Rot,Disease,,Sclerotinia spp.,2,LIBERTY PYRAC-TRZ,,,,,,
Sclerotinia wilt,Wilt,Disease,,Sclerotinia spp.,1,Theia Fungicide,,,,,,
Sclerotium,Sclerotium spp.,Disease,,Sclerotium spp.,19,Trianum WG Biological Fungicide,,,,,,
Sclerotium Rolfsii,Sclerotium rolfsii,Disease,,Sclerotium spp.,2,DEBUG OPTIMO,,,,,,
Sclerotium rolfsii,Sclerotium rolfsii,Disease,,Sclerotium spp.,6,Timorex Gold; Botran 75-W; QST 713 FS; ProStar 70 WP Fungicide; SERENADE ASO,,,,,,
Sclerotium rolfsii (Southern blight),Southern Blight,Disease,,Sclerotium spp.,22,MBI-601 EP,,,,,,
Sclerotium stem rot,Stem Rot,Disease,,Sclerotium spp.,1,Theia Fungicide,,,,,,
Scolytids,Scolytids,Other,,,1,BOXERTM Insecticide-Miticide,Review needed - unclear target type,,,,,
Scorch,Scorch,Other,,,5,KOP-AM Complex; Lilly Miller KOP-R-SPRAY Concentrate; LIQUI-COP; COPPER-COUNT-N,Review needed - unclear target type,,,,,
Scorpions,Scorpions,Other,,,10,"ORTHO GARDEN, TREE & SHRUB CONC/RTS; Ortho ZBP Granules",Review needed - unclear target type,,,,,
scrufy scale,Scales,Insect,Scurfy,,5,Acme® Dormant Oil Spray,,,,,,
Scum,Scum,Other,,,3,TERRASTAT 22-S; Perasan OG; TERRASTAT 1522-S,Review needed - unclear target type,,,,,
Scurf,Scurf,Other,,,3,Botran 75-W; Botran® 5F Fungicide,Review needed - unclear target type,,,,,
Scurfy Scale,Scales,Insect,Scurfy,,16,CLEAN CROP SUPERIOR DORMANT SPRAY OIL; LESCO Horticultural Oil Plus; Lesco Horticultural Oil Insecticide; PureSpray Green; BIOCOVER UL,,,,,,
Scurfy scale,Scales,Insect,Scurfy,,9,DREXEL 415 OIL 98.8; BioCover SS; DREXEL 455 OIL 98; DREXEL 415 OIL 98; DREXEL 455 OIL 98.8,,,,,,
Scurfy Scales,Scales,Insect,Scurfy,,1,VISTA CLEAR SPRAY OIL II,,,,,,
Scurfy scales,Scales,Insect,Scurfy,,1,DREXEL 435 OIL 98.8,,,,,,
Scurfy),Scales,Other,Scurfy,,2,Brandt STS Horticultural Oil,Review needed - unclear target type,,,,,
sea chalcid,Chalcids,Other,Sea,,1,Surround WP Agricultural Crop Protectant,Review needed - unclear target type,,,,,
Sea chalcids,Chalcids,Other,Sea,,1,SURROUND CF AGRICULTURAL CROP PROTECTANT,Review needed - unclear target type,,,,,
Secondary Scab,Scab,Disease,,,2,CAPTAN 80 WDG; Captan 38.75% FL,,,,,,
Secondary scab,Scab,Disease,,,41,Captan 50% WP; ADA 76901; Captan 4L; Captan 50-W; Captan 50 Wettable Powder,,,,,,
Sedge,Sedge,Weed,,,36,F7127 SE HERBICIDE; Outlook Herbicide; Biscayne Herbicide; NUP-18013,,,,,,
Sedge (annual),Sedge,Weed,,,3,HYVAR X Herbicide,,,,,,
sedge and broadleaf weeds,"Broadleaf, Sedge",Weed,,,10,GF-3301 TE,,,,,,
Sedge weeds,Sedge,Weed,,,79,MBI-005 EP; Liberty Sulfentrazone SC; PREVIEW DF Herbicide; Shutdown Herbicide; Envoke Herbicide,,,,,,
sedge weeds,Sedge,Weed,,,6,Metolachlor 58.2% & Metribuzin 13.8% EC; Sharda Sulfen. 31.77% + Carfen. 3.53% SL,,,,,,
Sedgemustardoses,Sedge,Weed,,,1,PREVIEW 2.1 SC HERBICIDE,,,,,,
Sedges,Sedge,Weed,,,210,A326.02; AX FOMESAFEN 1.88; Avalaire MESO 4 SC; AGENT 1.88; ARGOS HERBICIDE,,,,,,
sedges,Sedge,Weed,,,11,Tower Herbicide; PREVIEW SC Herbicide; Axill Solutions Mesotrione 4SC; Fomesafen 22.1% SC; Lektor,,,,,,
Sedges (Carex spp.),Sedge,Weed,,,1,Tigris Meso 4 SC,,,,,,
sedges (Carex spp.),Sedge,Weed,,,1,Sharda Mesotrione 40SC,,,,,,
Sedges partially controlled,Sedge,Weed,,,1,Avalaire Fomesafen 2.87,,,,,,
Sedges spp.,Sedge,Weed,,,2,Mesotrione 40% SC,,,,,,
Seed and seedling rots,"Seed Rot, Seedling Rot",Disease,,,4,Captan 4 Flowable Seed Protectant,,,,,,
Seed Corn Beetle,Maggots,Insect,Seedcorn,,1,Liberty Bifenthrin 2 EC,,,,,,
Seed Corn Maggot,Maggots,Insect,Seedcorn,,16,Bifenthrin 17.15 FC; GCS Bifenthrin LFC; Capture LFR Soil Insecticide; Arena 50 WDG Insecticide; Bifender FC 3.1,,,,,,
Seed corn maggot,Maggots,Insect,Seedcorn,,3,GCS Bifenthrin LFC; Verimark Insect Control,,,,,,
Seed Corn Maggots,Maggots,Insect,Seedcorn,,5,Bifenthrin 180 FS; Sharda Bifenthrin 17.15% LFC,,,,,,
Seed Corn Magot,Maggots,Other,Seedcorn,,1,A110.05,Review needed - unclear target type,,,,,
Seed Decay,Seed Rot,Other,,,17,Maxim® 480FS; Sharda Fludioxonil 480 FS; Maxim 4FS,Review needed - unclear target type,,,,,
Seed decay,Seed Rot,Other,,,37,DCC Captan 4 Flowable; Captan 4L; Flowsan Seed Treatment; 42-S Thiram Fungicide; Dyna-Shield™ Trifloxystrobin Flowable Fungicide,Review needed - unclear target type,,,,,
seed decay,Seed Rot,Other,,,6,Fludioxonil 480 FS Fungicide,Review needed - unclear target type,,,,,
Seed Decay and Early Season Diseases,Seed Rot,Disease,,,1,STartUP Azoxy Seed Treatment,,,,,,
Seed Maggots,Maggots,Insect,Seed,,13,Talstar HP 0.115% Granular Insecticide; Turf Pride® Fertilizer with 0.096% Bifenthrin Insecticide; Empower2 Granular Insecticide; Turf Pride® Fertilizer with 0.069% Bifenthrin Insecticide; Ortho ZBP Granules,,,,,,
Seed maggots,Maggots,Insect,Seed,,24,BIFENTHRIN 0.1% LAWN GRANULES; Bifenthrin Granule Insecticide; Bifenthrin 0.1% Granule; Bifenthrin 0.115% RTU; Bifenthrin 0.1% RTU,,,,,,
seed maggots,Maggots,Insect,Seed,,4,Bifenthrin .115 G,,,,,,
Seed piece decay,Seed Rot,Other,,,1,Topsin M 5D,Review needed - unclear target type,,,,,
Seed Piece Protection,Seed Rot,Disease,,,1,Fungi-Phite,,,,,,
Seed Piece Treatment,Seed Rot,Other,,,1,MBI-110 EP,Review needed - unclear target type,,,,,
Seed Pod Weevil,Weevils,Insect,Seed Pod,,1,Willowood Bifenthrin 2EC,,,,,,
Seed rot,Seed Rot,Disease,,,2,Rancona 3.8 FS; IPCONAZOLE 4L,,,,,,
Seed Rots,Seed Rot,Disease,,,1,STartUP MANZB Seed Treatment,,,,,,
Seed rots,Seed Rot,Disease,,,1,IPCONAZOLE 4L,,,,,,
Seed rots (seed- and soil-borne Aspergillus spp. and Penicillium spp.),Seed Rot,Disease,,,1,Rancona 3.8 FS,,,,,,
Seed sprouting,Seed sprouting,Other,,,1,VitaGib 40% Soluble Powder Plant Growth Regulator,Review needed - unclear target type,,,,,
Seed-borne and Soil-borne fungi causing decay,seedborne and soilborne pathogens,Other,,,5,Dynasty,Review needed - unclear target type,,,,,
Seed-borne and soil-borne fungi causing decay,seedborne and soilborne pathogens,Other,,,16,Azoxystrobin 9.6% ST Fungicide; Liberty Azoxy 9.6; NUP-08056 Seed Treatment Fungicide,Review needed - unclear target type,,,,,
Seed-borne Black leg disease,Black Leg,Disease,,,1,Mertect 340-F,,,,,,
Seed-borne fungi,seedborne pathogens,Other,,,1,Maxim XL Fungicide,Review needed - unclear target type,,,,,
Seed-borne late blight,Seed-borne late blight,Disease,,,1,Revus,,,,,,
Seed-borne Silver Scurf (Helminthosporium solani),Silver Scurf,Other,,,1,Vibrance Ultra Potato,Review needed - unclear target type,,,,,
Seed-borne Verticillium dahliae,Verticillium dahliae,Other,,,1,Rancona 3.8 FS,Review needed - unclear target type,,,,,
Seed-propagated weeds,Weeds,Weed,,,2,Basamid Granular,,,,,,
seedborne and soilborne organisms,seedborne and soilborne pathogens,Other,,,4,Thiram 480 DP,Review needed - unclear target type,,,,,
Seedborne Common Scab,Scab,Disease,Seedborne,,4,Penncozeb 80WP Fungicide; AX MANCOZEB 75 DG; Mancozeb Granuflo; Manzate Pro-Stick Fungicide,,,,,,
Seedborne common scab,Scab,Disease,Seedborne,,3,ROPER DF RAINSHIELD; Roper; Dithane DF Rainshield,,,,,,
Seedborne fungi,seedborne pathogens,Other,,,1,TRIFLOXYSTROBIN Flowable Fungicide,Review needed - unclear target type,,,,,
Seedcorn Maggot,Maggots,Insect,Seedcorn,,18,Bifenthrin 17.15 FC; A110.08; Avalaire Bifen FC; Bifender FC 3.1; A110.05,,,,,,
Seedcorn maggot,Maggots,Insect,Seedcorn,,23,F9390-3 Insecticide; BIFENTHRIN LFC 1.5; F4092-3; F4022-1; Bifenture LFC Insecticide,,,,,,
seedcorn maggot,Maggots,Insect,Seedcorn,,1,Regard SC,,,,,,
Seedcorn Maggots,Maggots,Insect,Seedcorn,,6,2016BIFENTHRIN; FG14002-80; Discipline 2EC,,,,,,
Seedcorn maggots,Maggots,Insect,Seedcorn,,2,THIAMETHOXAM 5L; Sharda Thiamethoxam 47.6% FS,,,,,,
Seedling,Seedling,Other,,,10,DREXEL Me-Try-Buzin 4L; Metri 4F Herbicide; METRIBUZIN 75% DF; Liberty Metribuzin 4L; IMAZETHAPYR 240 SL,Review needed - unclear target type,,,,,
seedling,Seedling,Other,,,21,Avalaire Metribuzin 4 F; A363.01; Carb-O-Nator; AVALAIRE METRIBUZIN 75 DF; A342.02,Review needed - unclear target type,,,,,
Seedling Blight,Damping-Off,Disease,,,17,Maxim® 480FS; Sharda Fludioxonil 480 FS; Maxim 4FS,,,,,,
Seedling blight,Damping-Off,Disease,,,21,DCC Captan 4 Flowable; Fontelis; ENDORSE Water Dispersible Granules; Carb-O-Nator; Karbicure 85 SG,,,,,,
seedling blight,Damping-Off,Disease,,,23,Xanthion In-Furrow Fungicide; Fludioxonil 4L ST; AX-FLUDIOX FUNGICIDE 4; Dyna-Shield Fludioxonil; Dyna-Shield Azoxystrobin Fungicide,,,,,,
Seedling Blights,Damping-Off,Disease,,,1,STartUP MANZB Seed Treatment,,,,,,
Seedling blights,Damping-Off,Disease,,,52,Captan 4L; Flowsan Seed Treatment; F4022-1; GH DNMT; 42-S Thiram Fungicide,,,,,,
seedling blights,Damping-Off,Disease,,,39,STK-73; F4120-2 (Ethos 3D Insecticide/Fungicide); Fludioxonil 480 FS Fungicide; F4092-3,,,,,,
Seedling broadleaf weeds,Broadleaf,Weed,,,3,OXYFLUORFEN 2EC; Willowood OxyFlo 2EC,,,,,,
Seedling damping-off (Rhizoctonia solani),Damping-Off,Other,,,5,Liberty Azoxy 9.6,Review needed - unclear target type,,,,,
Seedling Disease,Damping-Off,Disease,,,1,ULTRA FLOURISH II 4 SC FUNGICIDE,,,,,,
Seedling Diseases,Damping-Off,Disease,,,1,VCP-026,,,,,,
Seedling diseases,Damping-Off,Disease,,,1,Metalaxyl 2E AG,,,,,,
Seedling diseases caused by Fusarium spp.,Damping-Off,Disease,,,3,Mertect 340-F,,,,,,
Seedling Johnsongrass,Johnsongrass,Weed,,,3,LIBERTY X-METCHLORBUZIN; AX Clomazone 31.3; Clomate 3ME,,,,,,
Seedling Johnsongrass (suppression),Johnsongrass,Weed,,,6,A335.05,,,,,,
Seedling Root Rot,Damping-Off,Disease,,,8,Avalaire Azoxy 2 SC; Abound Flowable Fungicide; Liberty Azoxy 229; A225.13; LPI.A017,,,,,,
Seedling root rot,Damping-Off,Disease,,,1,AX AZOXY 229,,,,,,
Seedling rot (Pythium spp.),Damping-Off,Disease,,,1,Vireo WDG,,,,,,
Seedpod Weevil,Weevils,Insect,Seedpod,,40,ACETO BIFENTHRIN 2 EC; AgSaverTM Bifenthrin 2EC; A110.08; A110.03; A110.05,,,,,,
Seedpod weevil,Weevils,Insect,Seedpod,,8,Liberty Imidacloprid Bifenthrin; Liberty BIFEN-IMIDA 2-1 SC; SKYRAIDER; Athena Insecticide; Sharda Bifenthrin 2E,,,,,,
Seedpod Weevils,Weevils,Insect,Seedpod,,3,2016BIFENTHRIN; FG14002-80; Discipline 2EC,,,,,,
select broadleaf weeds,Broadleaf,Weed,,,2,Moccasin Herbicide,,,,,,
Senecio vulgaris,Senecio vulgaris,Other,,,1,F6285 4F CAL Herbicide,Review needed - unclear target type,,,,,
Senescence,Senescence,Other,,,18,Hazel 312™,Review needed - unclear target type,,,,,
senescence,Senescence,Other,,,4,SmartFresh Technology,Review needed - unclear target type,,,,,
Senna,Senna,Other,,,11,F7127 SE HERBICIDE; BCP258H_3 HERBICIDE,Review needed - unclear target type,,,,,
Septaria Blight,Blight,Disease,,Septoria spp.,1,Azoxystrobin 2L H&G,,,,,,
Septaria leaf spot,Leaf Spot,Disease,,Septoria spp.,2,Koverall Fungicide,,,,,,
Septoria,Septoria spp.,Other,,Septoria spp.,11,C-O-C-S WDG; COP-O-ZINC; Basic Kopper Sulfate; Cueva 2.4 Copper Soap; Companion Maxx Phosphite,Review needed - unclear target type,,,,,
Septoria (leaf spot),Leaf Spot,Disease,,Septoria spp.,7,Carb-O-Nator,,,,,,
Septoria albopunctatum,Septoria albopunctatum,Other,,Septoria spp.,1,MAXIPHITE Fungicide,Review needed - unclear target type,,,,,
Septoria Blight,Blight,Disease,,Septoria spp.,34,A225.09; A19649 Crop; A-Zox 50WDG; A225.13; A21461 Crop,,,,,,
Septoria blight,Blight,Disease,,Septoria spp.,8,FLU+DFO; A225.05; Heritage Fungicide; Helmstar Fungicide; Mika WG,,,,,,
Septoria Brown Spot,Brown Spot,Disease,,Septoria spp.,4,ARMOUR-Zen 15%,,,,,,
Septoria Fruit,Fruit Spot,Other,,Septoria spp.,1,OLD BRIDGE COPPER SULFATE,Review needed - unclear target type,,,,,
Septoria Fruit and Leaf Spot,"Fruit Spot, Leaf Spot",Disease,,Septoria spp.,1,Quimag Quimicos Aguila Copper Sul,,,,,,
Septoria fruit spot,Fruit Spot,Disease,,Septoria spp.,1,BORDO 13 WP,,,,,,
Septoria Late Blight,Blight,Disease,,Septoria spp.,1,Equus 500 ZN,,,,,,
Septoria Leaf Blight,Blight,Disease,,Septoria spp.,33,Alibi Flora™; A253.04; A253.08; A253.09; A253.05 [Vango ESQ],,,,,,
Septoria leaf blight,Blight,Disease,,Septoria spp.,27,A20259 Crop; A23089 Fungicide; A253.01; A19649 Crop; A20560 Crop Fungicide,,,,,,
Septoria leaf blight (Septoria cucurbitacearum),Blight,Disease,,Septoria spp.,1,Revus Top,,,,,,
Septoria leaf mold,Blight,Disease,,Septoria spp.,2,Bonide Vegetable Floral Dust,,,,,,
Septoria Leaf Spot,Leaf Spot,Disease,,Septoria spp.,310,3 LB. COPPER FLOWABLE FUNGICIDE; A19649 Crop; A20560 Crop Fungicide; A-Zox 50WDG; A21461 Crop,,,,,,
Septoria Leaf spot,Leaf Spot,Disease,,Septoria spp.,1,Dexter XCEL Fungicide,,,,,,
Septoria leaf spot,Leaf Spot,Disease,,Septoria spp.,321,A20259 Crop; A19649 Crop; 26/36 Fungicide; A20560 Crop Fungicide; A18993 Fungicide,,,,,,
septoria leaf spot,Leaf Spot,Disease,,Septoria spp.,3,Dithane M45; Dithane F-45,,,,,,
Septoria leaf spot (S. ampelina),Leaf Spot,Disease,,Septoria spp.,1,Revus Top,,,,,,
Septoria leaf spot (S. lycopersici),Leaf Spot,Disease,,Septoria spp.,2,Revus Top,,,,,,
Septoria Leaf Spot and Stem Canker,"Leaf Spot, Canker",Disease,,Septoria spp.,4,Quash SC Fungicide,,,,,,
Septoria Leaf Spots,Leaf Spot,Disease,,Septoria spp.,2,A225.13; AZteroid FC 3.3,,,,,,
Septoria leaf spots,Leaf Spot,Disease,,Septoria spp.,1,Cueva 2.4 Copper Soap,,,,,,
Septoria Leafspot,Leaf Spot,Disease,,Septoria spp.,2,DuPont Tanos,,,,,,
Septoria leafspot,Leaf Spot,Disease,,Septoria spp.,25,A20259 Crop; A23089 Fungicide; A253.01; A20560 Crop Fungicide; A253.11,,,,,,
Septoria leafspot (Septoria spp.),Leaf Spot,Disease,,Septoria spp.,1,AX Fluazi-Difeno,,,,,,
Septoria lycopersici,Septoria lycopersici,Other,,Septoria spp.,2,ENV503 Biofungicide Wettable Powder,Review needed - unclear target type,,,,,
Septoria Rot,Rot,Disease,,Septoria spp.,3,PHT KZ 20/20,,,,,,
Septoria Spot,Leaf Spot,Disease,,Septoria spp.,23,BASIC COPPER 53; Basic Copper 50 HB; AG Copp 75; AmeriCop 40 DF; Badge X2,,,,,,
Septoria spot,Leaf Spot,Disease,,Septoria spp.,8,KOP-5; KOP-Hydroxide; ENDORSE Water Dispersible Granules; Endura Pro fungicide; LPI Chesson Fungicide,,,,,,
Septoria spp.,Septoria spp.,Other,,Septoria spp.,15,Fungi-Phite; Nufarm Propiconazole SPC 14.3 MEC Fungicide; Pageant Intrinsic Brand Fungicide; Alamo Fungicide; Nufarm Propiconazole SPC EC Fungicide,Review needed - unclear target type,,,,,
Septoria spp. (Leaf Scorch),Leaf Scorch,Other,,Septoria spp.,6,Propizol; Colony; Propicon 14.3 ME; Propiconazole 1.3 ME T&O; Banner MAXX II,Review needed - unclear target type,,,,,
Septoria spp. (Leaf scorch),Leaf Scorch,Other,,Septoria spp.,2,A223.06; Quali-Pro Propiconazole 14.3 EC,Review needed - unclear target type,,,,,
Septoria stem canker,Canker,Disease,,Septoria spp.,1,Tilt Bravo SE,,,,,,
Sericea Lespedeza,Sericea Lespedeza,Other,,,6,A313.01; LPI.A011; Comet Selective Herbicide,Review needed - unclear target type,,,,,
Sericea lespedeza,Sericea Lespedeza,Other,,,3,OBTAIN 40% WDG Herbicide; Liberty Fluroxypyr Herbicide,Review needed - unclear target type,,,,,
Sesbania,Sesbania spp.,Other,,,4,Sharda Metribuzin 4SC; Drexel Me-Try-Buzin 75DF; Biscayne Herbicide,Review needed - unclear target type,,,,,
Sesbania spp.,Sesbania spp.,Other,,,10,LIBERTY X-METCHLORBUZIN; LPI.A014; A335.05,Review needed - unclear target type,,,,,
Sex expression modification for hybrid seed production,Sex expression modification for hybrid seed production,Other,,,1,Liberty Ethephon 21,Review needed - unclear target type,,,,,
Shape tree canopy,Shape tree canopy,Other,,,1,Kudos 27.5 WDG,Review needed - unclear target type,,,,,
Sharp-Nosed Leafhopper,Leafhoppers,Insect,Sharp-Nosed,,7,METHOMYL 29 SL Insecticide; Lannate SP; Lannate LV Insecticide; Methomyl 90 WSP; AX Methomyl 29LV Insecticide,,,,,,
Sharp-nosed leafhopper,Leafhoppers,Insect,Sharp-Nosed,,3,Imidan 70-W Agricultural Insecticide; Malathion 8,,,,,,
Sharpnose leafhopper,Leafhoppers,Insect,Sharp-Nosed,,1,Malathion 8 Aquamul,,,,,,
sharpshooter,Sharpshooters,Other,,,1,Surround WP Agricultural Crop Protectant,Review needed - unclear target type,,,,,
Sharpshooter Aphids,Sharpshooters,Insect,,,22,CINNACURETM A300S,,,,,,
Sharpshooter spp.,Sharpshooters,Other,,,7,Liberty BIFEN-IMIDA 2-1 SC; Brigadier HPG Insecticide; Imidacloprid Plus Bifenthrin 1 + 1 SC; Athena Insecticide; Brigadier Insecticide,Review needed - unclear target type,,,,,
Sharpshooters,Sharpshooters,Other,,,83,Agri-Flex Miticide/Insecticide; Actara 240 SC; AmTide Imidacloprid 2F Insecticide; Arena 50 WDG Insecticide; Avalaire Imida 4 F,Review needed - unclear target type,,,,,
Shattercane,Shattercane,Other,,,15,LIBERTY X-METCHLORBUZIN; A363.01; Omni Brand Metribuzin 4SC; METRI DF; IMAZETHAPYR 240 SL,Review needed - unclear target type,,,,,
Shattercane (suppression),Shattercane,Other,,,6,A335.05,Review needed - unclear target type,,,,,
sheath,sheath,Other,,,39,AgChem1-EP1,Review needed - unclear target type,,,,,
Sheath Spot and Blight,Sheath Spot,Disease,,,1,ARMOUR-Zen 15%,,,,,,
sheep,sheep,Other,,,9,Velpar® L CU; Tide Hexazinone 75 WDG; Velpar DF CU,Review needed - unclear target type,,,,,
Sheep flies,Sheep flies,Other,,,7,Prentox Perm-X UL 30-30,Review needed - unclear target type,,,,,
Sheperdspurse,Shepherdspurse,Other,,,2,F9021-2 SE Herbicide; F9021-2 SE CAL Herbicide,Review needed - unclear target type,,,,,
Shepherd’s Purse,Shepherdspurse,Other,,,13,Willowood Metribuzin 75DF; METRIBUZIN 75% DF; Bar 750 DF; Prodiamine Pro F 0.20% Herbicide,Review needed - unclear target type,,,,,
Shepherd’s purse,Shepherdspurse,Other,,,33,Metribuzin 70 WDG; Biscayne Herbicide; Galigan® H2O; LIBERTY X-METCHLORBUZIN; A363.01,Review needed - unclear target type,,,,,
Shepherd’s-purse,Shepherdspurse,Other,,,11,V-10142 Ag Herbicide; LPI.A014; Metribuzin 75; A342.01; AVALAIRE METRIBUZIN 75 DF,Review needed - unclear target type,,,,,
Shepherd's Purse,Shepherdspurse,Other,,,1,Willowood Metribuzin 4SC,Review needed - unclear target type,,,,,
Shepherd's purse,Shepherdspurse,Other,,,1,Nufarm Metribuzin 4SC Herbicide,Review needed - unclear target type,,,,,
Shepherd's-purse,Shepherdspurse,Other,,,8,Tide Hexazinone 75 WDG; A335.05,Review needed - unclear target type,,,,,
